,sample_name,barcode,r1,r2,AMR_mapped_reads (%)
0,14542.PMM1D1.R4,3D0416A,/qmounts/qiita_data/per_sample_FASTQ/194122/3D0416A_S408_L004_R1_001.trimmed.fastq.gz,/qmounts/qiita_data/per_sample_FASTQ/194122/3D0416A_S408_L004_R2_001.trimmed.fastq.gz,0.251801
1,14542.LAB1O6.R2,3D0245A,/qmounts/qiita_data/per_sample_FASTQ/194122/3D0245A_S353_L004_R1_001.trimmed.fastq.gz,/qmounts/qiita_data/per_sample_FASTQ/194122/3D0245A_S353_L004_R2_001.trimmed.fastq.gz,0.246881
2,14542.PMM1S1.L7,3D1004A,/qmounts/qiita_data/per_sample_FASTQ/194122/3D1004A_S267_L004_R1_001.trimmed.fastq.gz,/qmounts/qiita_data/per_sample_FASTQ/194122/3D1004A_S267_L004_R2_001.trimmed.fastq.gz,0.144828
3,14542.LAB1O2.L1,3D0203A,/qmounts/qiita_data/per_sample_FASTQ/194122/3D0203A_S19_L004_R1_001.trimmed.fastq.gz,/qmounts/qiita_data/per_sample_FASTQ/194122/3D0203A_S19_L004_R2_001.trimmed.fastq.gz,0.193943
4,14542.COL1A2.R1,3D0492A,/qmounts/qiita_data/per_sample_FASTQ/194122/3D0492A_S336_L004_R1_001.trimmed.fastq.gz,/qmounts/qiita_data/per_sample_FASTQ/194122/3D0492A_S336_L004_R2_001.trimmed.fastq.gz,0.148939
5,14542.NOD3O5.R1,3D1374A,/qmounts/qiita_data/per_sample_FASTQ/194122/3D1374A_S332_L004_R1_001.trimmed.fastq.gz,/qmounts/qiita_data/per_sample_FASTQ/194122/3D1374A_S332_L004_R2_001.trimmed.fastq.gz,0.205109
6,14542.NOD2O2.R6,3D0967A,/qmounts/qiita_data/per_sample_FASTQ/194122/3D0967A_S193_L004_R1_001.trimmed.fastq.gz,/qmounts/qiita_data/per_sample_FASTQ/194122/3D0967A_S193_L004_R2_001.trimmed.fastq.gz,0.219756
7,14542.COL1O3.L2,3D0451A,/qmounts/qiita_data/per_sample_FASTQ/194122/3D0451A_S165_L004_R1_001.trimmed.fastq.gz,/qmounts/qiita_data/per_sample_FASTQ/194122/3D0451A_S165_L004_R2_001.trimmed.fastq.gz,0.181486
8,14542.PMM1P1.L8,3D0308A,/qmounts/qiita_data/per_sample_FASTQ/194122/3D0308A_S455_L004_R1_001.trimmed.fastq.gz,/qmounts/qiita_data/per_sample_FASTQ/194122/3D0308A_S455_L004_R2_001.trimmed.fastq.gz,0.22331
9,14542.NOD3A2.L4,3D1218A,/qmounts/qiita_data/per_sample_FASTQ/194122/3D1218A_S402_L004_R1_001.trimmed.fastq.gz,/qmounts/qiita_data/per_sample_FASTQ/194122/3D1218A_S402_L004_R2_001.trimmed.fastq.gz,0.194426
10,14542.NOD2D2.R3,3D1358A,/qmounts/qiita_data/per_sample_FASTQ/194122/3D1358A_S303_L004_R1_001.trimmed.fastq.gz,/qmounts/qiita_data/per_sample_FASTQ/194122/3D1358A_S303_L004_R2_001.trimmed.fastq.gz,0.22073
11,14542.NOD3F5.R6,3D0994A,/qmounts/qiita_data/per_sample_FASTQ/194122/3D0994A_S322_L004_R1_001.trimmed.fastq.gz,/qmounts/qiita_data/per_sample_FASTQ/194122/3D0994A_S322_L004_R2_001.trimmed.fastq.gz,0.224723
12,14542.NOD3A2.L3,3D0420A,/qmounts/qiita_data/per_sample_FASTQ/194122/3D0420A_S249_L004_R1_001.trimmed.fastq.gz,/qmounts/qiita_data/per_sample_FASTQ/194122/3D0420A_S249_L004_R2_001.trimmed.fastq.gz,0.218153
13,14542.NOD1S4.R4,3D0551A,/qmounts/qiita_data/per_sample_FASTQ/194122/3D0551A_S39_L004_R1_001.trimmed.fastq.gz,/qmounts/qiita_data/per_sample_FASTQ/194122/3D0551A_S39_L004_R2_001.trimmed.fastq.gz,0.161613
