filename	ATTRIBUTE_Plate	ATTRIBUTE_GMT	ATTRIBUTE_Date	ATTRIBUTE_Module	ATTRIBUTE_Module_CombineBlank	ATTRIBUTE_Module_SeparateBlank	ATTRIBUTE_Rack	ATTRIBUTE_Location	ATTRIBUTE_Labels	ATTRIBUTE_Orientation	ATTRIBUTE_Sample_Return_Bag
P1_A2.mzML	P1	40	2/9/2021	Node 1	Node 1	Node 1	6	NOD1P2 (NODE 3 HATCH PORTAL)	NOD1P2-R3	P	3DMM1504A S/N 004
P1_A3.mzML	P1	47	2/16/2021	PMM	PMM	PMM	1	PMM1O1	PMM1O1-R4	O	3DMM1509A S/N 009
P1_A4.mzML	P1	40	2/9/2021	US Lab	US Lab	US Lab	21	LAB1O1	LAB1O1-L2	O	3DMM1503A S/N 003
P1_A5.mzML	P1	34	2/3/2021	Columbus	Columbus	Columbus	16	COL1F4	COL1F4-L2	F	3DMM1501A S/N 001
P1_A6.mzML	P1	50	2/19/2021	Node 3	Node 3	Node 3	6	NOD3O4	NOD3O4-L1	O	3DMM1511A S/N 011
P1_A7.mzML	P1	50	2/19/2021	Node 3	Node 3	Node 3	2	NOD3F5 (T2)	NOD3F5-R5	F	3DMM1511A S/N 011
P1_A8.mzML	P1	46	2/15/2021	JPM	JPM	JPM	5	JPM1O2	JPM1O2-R2	O	3DMM1508A S/N 008
P1_A9.mzML	P1	50	2/19/2021	Node 3	Node 3	Node 3	3	NOD3O5	NOD3O5-L2	O	3DMM1512A S/N 012
P1_B1.mzML	P1	47	2/16/2021	PMM	PMM	PMM	1	PMM1O1	PMM1O1-L5	O	3DMM1509A S/N 009
P1_B2.mzML	P1	47	2/16/2021	PMM	PMM	PMM	4	PMM1S1	PMM1S1-R6	S	3DMM1509A S/N 009
P1_B3.mzML	P1	50	2/19/2021	Node 3	Node 3	Node 3	6	NOD3O4	NOD3O4-L6	O	3DMM1511A S/N 011
P1_B4.mzML	P1	46	2/15/2021	JLP	JLP	JLP	2	JLP1P1	JLP1P1-L4 	P	3DMM1505A S/N 007
P1_B5.mzML	P1	39	2/8/2021	Node 1	Node 1	Node 1	3	NOD1D4	NOD1D4-L2	D	3DMM1502A S/N 002
P1_B6.mzML	P1	43	2/12/2021	Node 2	Node 2	Node 2	5	NOD2O2 (Hatch to PMA-3)	NOD2O2-R5	O	3DMM1505A S/N 005
P1_B7.mzML	P1	50	2/19/2021	Node 3	Node 3	Node 3	6	NOD3O4	NOD3O4-R4	O	3DMM1511A S/N 011
P1_B8.mzML	P1	43	2/12/2021	Node 2	Node 2	Node 2	2	NOD2P4	NOD2P4-R6	P	3DMM1505A S/N 005
P1_B9.mzML	P1	43	2/12/2021	Node 2	Node 2	Node 2	4	NOD2S4	NOD2S4-L1	S	3DMM1505A S/N 005
P1_B10.mzML	P1	47	2/16/2021	Airlock	Airlock	Airlock	1	A/L1O1	A/L1O1-R2	O	3DMM15010A S/N 010
P1_C1.mzML	P1	50	2/19/2021	Node 3	Node 3	Node 3	7	NOD3F4	NOD3F4-L6	F	3DMM1511A S/N 011
P1_C2.mzML	P1	47	2/16/2021	PMM	PMM	PMM	2	PMM1P1	PMM1P1-L6	P	3DMM1509A S/N 009
P1_C3.mzML	P1	46	2/15/2021	JPM	JPM	JPM	5	JPM1O2	JPM1O2-R1	O	3DMM1508A S/N 008
P1_C4.mzML	P1	40	2/9/2021	Node 1	Node 1_Field Control	Field Control	Field Control	Air Sample	NOD1-F5	Field Control	3DMM1504A S/N 004
P1_C5.mzML	P1	47	2/16/2021	PMM	PMM	PMM	4	PMM1S1	PMM1S1-R7	S	3DMM1509A S/N 009
