Feature ID	Counts	log_counts	Taxon
g__Faecalibacterium	37627.0	4.5754995934093206	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Oscillospirales; f__Ruminococcaceae; g__Faecalibacterium; s__
f__Coleofasciculaceae_23353; g__SIO2C1	171608.0	5.2345375298697405	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Cyanobacteriales; f__Coleofasciculaceae_23353; g__SIO2C1; s__SIO2C1 sp010672925
g__Pseudomonas_E_647464	18107.0	4.257846501591155	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales_650611; f__Pseudomonadaceae; g__Pseudomonas_E_647464; s__
f__Peptococcaceae_369362; g__Peptococcus	2174.0	3.3372595397502756	d__Bacteria; p__Firmicutes_B_370539; c__Peptococcia; o__Peptococcales; f__Peptococcaceae_369362; g__Peptococcus; s__Peptococcus niger
g__Escherichia_710834	812.0	2.9095560292411755	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales_A_737866; f__Enterobacteriaceae_A; g__Escherichia_710834; s__
g__Ruthenibacterium	220.0	2.342422680822206	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Oscillospirales; f__Ruminococcaceae; g__Ruthenibacterium; s__Ruthenibacterium lactatiformans
g__Acinetobacter	87101.0	4.940023141138419	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales_660879; f__Moraxellaceae; g__Acinetobacter; s__
g__Lactobacillus	137774.0	5.139167267485147	d__Bacteria; p__Firmicutes_D; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__Lactobacillus iners
g__Luteitalea	954.0	2.979548374704095	d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales; f__Vicinamibacteraceae; g__Luteitalea; s__
g__Brevundimonas	2886.0	3.4602963267574753	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__Brevundimonas; s__Brevundimonas aveniformis
g__Pseudomonas_E_648040	1112.0	3.0461047872460387	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales_650611; f__Pseudomonadaceae; g__Pseudomonas_E_648040; s__Pseudomonas_E_648040 guguanensis
f__Kordiimonadaceae_482971; g__Kordiimonas_482971	11830.0	4.072984744627931	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Kordiimonadaceae_482971; g__Kordiimonas_482971; s__Kordiimonas sp002401685
g__Ruminococcus_C_58660	4906.0	3.690727543870367	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Oscillospirales; f__Ruminococcaceae; g__Ruminococcus_C_58660; s__Ruminococcus_C_58660 sp000433635
g__Parabacteroides_B_862066	3226.0	3.508664363052943	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Tannerellaceae; g__Parabacteroides_B_862066; s__Parabacteroides_B_862066 distasonis
g__Cryptobacteroides	103.0	2.012837224705172	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__UBA932; g__Cryptobacteroides; s__Cryptobacteroides sp900546395
o__Haliangiales_463188; f__Haliangiaceae_463188; g__Haliangium_463188	452.0	2.655138434811382	d__Bacteria; p__Myxococcota_A_473307; c__Polyangia_463783; o__Haliangiales_463188; f__Haliangiaceae_463188; g__Haliangium_463188; s__Haliangium ochraceum
g__Cellvibrio	866.0	2.937517892017347	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales_650612; f__Cellvibrionaceae; g__Cellvibrio; s__
g__VBCG01	13.0	1.1139433523068367	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales_597437; f__Casimicrobiaceae; g__VBCG01; s__VBCG01 sp005881895
g__Bergeyella_A_791832	19.0	1.2787536009528289	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales_877923; f__Weeksellaceae; g__Bergeyella_A_791832; s__Bergeyella_A_791832 zoohelcum
g__Paenibacillus_C	170.0	2.230448921378274	d__Bacteria; p__Firmicutes_D; c__Bacilli; o__Paenibacillales; f__Paenibacillaceae_367444; g__Paenibacillus_C; s__
g__Haemophilus_D_735815	260792.0	5.416294264938932	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales_A_737866; f__Pasteurellaceae; g__Haemophilus_D_735815; s__
g__AG11	47.0	1.6720978579357175	d__Bacteria; p__Gemmatimonadota; c__Gemmatimonadetes; o__Gemmatimonadales; f__Gemmatimonadaceae; g__AG11; s__
g__Akkermansia	5890.0	3.7701152947871015	d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Akkermansiaceae; g__Akkermansia; s__Akkermansia muciniphila_D_776786
g__Barnesiella	615.0	2.788875115775417	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Barnesiellaceae; g__Barnesiella; s__Barnesiella intestinihominis
g__Pseudothioglobus	41.0	1.6127838567197355	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__PS1; f__Thioglobaceae; g__Pseudothioglobus; s__Pseudothioglobus sp000372785
g__Eubacterium_O_258268	10.0	1.0	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Eubacteriales_258471; f__Eubacteriaceae_258449; g__Eubacterium_O_258268; s__Eubacterium_O_258268 aggregans
g__Campylobacter_D	5.0	0.6989700043360189	d__Bacteria; p__Campylobacterota; c__Campylobacteria; o__Campylobacterales; f__Campylobacteraceae; g__Campylobacter_D; s__
o__UBA6911; f__UBA6911; g__Gp18-AA60	12.0	1.0791812460476249	d__Bacteria; p__Acidobacteriota; c__UBA6911; o__UBA6911; f__UBA6911; g__Gp18-AA60; s__
g__Blautia_A_141781	56312.0	4.7506009521951915	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Blautia_A_141781; s__Blautia_A_141781 faecis
g__Gemmiger_A_73129	15250.0	4.183269843682805	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Oscillospirales; f__Ruminococcaceae; g__Gemmiger_A_73129; s__
g__Anaerotignum_189125	139.0	2.143014800254095	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Anaerotignaceae; g__Anaerotignum_189125; s__Anaerotignum propionicum
g__UBA1066	474.0	2.6757783416740852	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__UBA1066; s__
g__Noviherbaspirillum_A_568106	171.0	2.2329961103921536	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales_592524; f__Burkholderiaceae_A_574934; g__Noviherbaspirillum_A_568106; s__Noviherbaspirillum_A_568106 canariense
g__Flexilinea	100.0	2.0	d__Bacteria; p__Chloroflexota; c__Anaerolineae; o__Anaerolineales; f__Anaerolineaceae_409200; g__Flexilinea; s__Flexilinea sp902786265
g__Arctic95D-9	22.0	1.3424226808222062	d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Verrucomicrobiales; f__DEV007; g__Arctic95D-9; s__Arctic95D-9 sp002726915
g__Saccharimonas	25.0	1.3979400086720377	d__Bacteria; p__Patescibacteria; c__Saccharimonadia; o__Saccharimonadales; f__Saccharimonadaceae; g__Saccharimonas; s__Saccharimonas aalborgensis
g__Anaerofilum_74150	49.0	1.6901960800285136	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Oscillospirales; f__Ruminococcaceae; g__Anaerofilum_74150; s__
g__Flavobacterium	247.0	2.392696953259666	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales_877923; f__Flavobacteriaceae; g__Flavobacterium; s__
f__Pyrinomonadaceae_426821; g__OLB17_426821	2.0	0.3010299956639812	d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__Pyrinomonadales; f__Pyrinomonadaceae_426821; g__OLB17_426821; s__OLB17 sp001567505
g__Agathobaculum	1139.0	3.0565237240791006	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Oscillospirales; f__Butyricicoccaceae; g__Agathobaculum; s__Agathobaculum butyriciproducens
