Sample name,x,y,z,r
NOD1S4-L1,65.189423,-42.450211,-29.354435,50
NOD1S4-L2,65.1008,-42.402248,-19.371607,50
NOD1S4-L3,65.276596,-42.40593,-8.1533098,50
NOD1S4-L4,58.798603,-31.767635,-4.2167854,50
NOD1S4-L5,59.031162,-21.958273,-4.1910601,50
NOD1S4-L6,58.711666,-11.932794,-4.1411357,50
NOD1S4-L7,58.520596,-11.533719,3.1489723,50
NOD1S4-L8,58.384022,-19.027893,7.1665034,50
NOD1S4-R1,84.051369,-42.414795,-29.342054,50
NOD1S4-R2,84.140625,-42.426903,-19.394304,50
NOD1S4-R3,84.197365,-42.410988,-8.2498875,50
NOD1S4-R4,69.916344,-31.127275,-4.1737666,50
NOD1S4-R5,69.711975,-21.724091,-4.21385,50
NOD1S4-R6,69.502777,-11.894244,-4.2052717,50
NOD1S4-R7,69.190636,-11.441792,3.1318717,50
NOD1S4-R8,69.39666,-19.026075,7.0990181,50
NOD1P4-L1,87.856873,45.237907,-28.433243,50
NOD1P4-L2,83.490288,45.160843,-25.145109,50
NOD1P4-L3,80.07,45.241547,-22.065279,50
NOD1P4-L4,88.242836,45.219006,-16.90379,50
NOD1P4-L5,83.338806,45.05471,-13.919914,50
NOD1P4-L6,78.459427,45.210304,-10.687029,50
NOD1P4-L7,88.506554,40.462353,-7.0236464,50
NOD1P4-L8,80.545006,42.244431,1.4876938,50
NOD1P4-L9,82.938545,43.401714,7.7466002,50
NOD1P4-L10,82.883423,43.400604,14.027078,50
NOD1P4-R1,70.802666,42.813637,-28.536886,50
NOD1P4-R2,63.416771,42.989857,-23.788031,50
NOD1P4-R3,58.412399,43.451363,-27.327162,50
NOD1P4-R4,71.967361,43.009785,-16.484632,50
NOD1P4-R5,65.879288,43.413109,-12.068286,50
NOD1P4-R6,60.168674,43.469845,-16.556835,50
NOD1P4-R7,70.478638,42.244148,-6.1923842,50
NOD1P4-R8,61.976929,42.224812,1.208914,50
NOD1P4-R9,65.101936,43.409195,7.8015389,50
NOD1P4-R10,65.192513,43.404255,13.84305,50
NOD1D4-L1,83.258087,29.257589,42.610352,50
NOD1D4-L2,83.276367,23.20163,42.606102,50
NOD1D4-L3,83.016273,17.088627,42.617809,50
NOD1D4-L4,83.176193,11.269177,42.603897,50
NOD1D4-L5,83.066612,5.4308772,42.602207,50
NOD1D4-L6,82.996643,-0.25765729,42.602722,50
NOD1D4-L7,82.957161,-6.599483,42.600853,50
NOD1D4-L8,83.133789,-13.238957,42.596081,50
NOD1D4-L9,82.928612,-20.011087,42.609207,50
NOD1D4-L10,83.009735,-26.357533,42.605011,50
NOD1D4-R1,65.329063,29.307739,42.621143,50
NOD1D4-R2,65.44117,23.313177,42.618904,50
NOD1D4-R3,65.365135,17.0758,42.611675,50
NOD1D4-R4,65.416222,10.828686,42.612564,50
NOD1D4-R5,65.225143,5.4877548,42.611759,50
NOD1D4-R6,65.102577,-0.49569342,42.610355,50
NOD1D4-R7,64.915283,-6.6012278,42.620193,50
NOD1D4-R8,65.006218,-13.329023,42.61132,50
NOD1D4-R9,65.083267,-19.675831,42.630623,50
NOD1D4-R10,65.117226,-26.056597,42.616074,50
NOD1O4-L1,65.396729,32.465446,-42.530689,50
NOD1O4-L2,65.396042,26.386341,-42.561016,50
NOD1O4-L3,65.328049,20.281155,-42.529545,50
NOD1O4-L4,65.328278,13.945838,-42.538441,50
NOD1O4-L5,65.22187,8.443469,-42.529995,50
NOD1O4-L6,65.197762,2.634038,-42.523712,50
NOD1O4-L7,64.975739,-3.6796887,-42.537022,50
NOD1O4-L8,65.162277,-10.325202,-42.536522,50
NOD1O4-L9,64.902115,-16.81185,-42.5163,50
NOD1O4-L10,65.128098,-23.04011,-42.525967,50
NOD1O4-R1,83.126633,32.475868,-42.528496,50
NOD1O4-R2,83.177475,26.067011,-42.535217,50
NOD1O4-R3,83.129234,19.957739,-42.561844,50
NOD1O4-R4,83.162178,13.754692,-42.519753,50
NOD1O4-R5,82.918892,8.1644278,-42.563683,50
NOD1O4-R6,83.04023,2.1800404,-42.531277,50
NOD1O4-R7,82.653305,-4.057971,-42.570824,50
NOD1O4-R8,82.924728,-10.542444,-42.5308,50
NOD1O4-R9,82.732094,-17.053719,-42.529598,50
NOD1O4-R10,82.773537,-23.473333,-42.538967,50
NOD1S2-L1,-18.293528,-46.28299,-39.224659,50
NOD1S2-L2,-7.4962344,-47.068481,-36.620407,50
NOD1S2-L3,-8.9102354,-55.526897,-29.017103,50
NOD1S2-L4,-20.148106,-57.185055,-28.538717,50
NOD1S2-L5,-8.0096884,-72.822845,-24.968054,50
NOD1S2-L6,-20.377504,-74.150475,-22.427103,50
NOD1S2-L7,-24.892315,-72.91851,-6.8563519,50
NOD1S2-L8,-24.939722,-71.716873,5.1581197,50
NOD1S2-L9,-20.439892,-70.966499,22.583204,50
NOD1S2-L10,-7.3819976,-71.762611,24.965679,50
NOD1S2-R1,9.268321,-45.265903,-38.665035,50
NOD1S2-R2,21.315552,-50.645954,-35.082432,50
NOD1S2-R3,17.92345,-55.916809,-29.312077,50
NOD1S2-R4,9.2414541,-55.326981,-29.260008,50
NOD1S2-R5,8.9926176,-72.955429,-24.981613,50
NOD1S2-R6,22.551298,-70.375122,-20.327747,50
NOD1S2-R7,24.847256,-72.17955,-8.307292,50
NOD1S2-R8,24.897488,-71.583984,3.3926678,50
