Sample name,x,y,z,r,signal
NOD2S4-L1,64.468422,41.719044,30.893343,10,1
NOD2S4-L2,64.368225,41.719139,19.957232,10,5
NOD2S4-L3,64.385155,41.719913,2.917778,10,10
NOD2S4-L4,64.373306,41.719131,-9.0425653,10,50
NOD2S4-L5,64.3797,41.718933,-24.030073,10,100
NOD2S4-L6,64.431847,41.719212,-33.019409,10,1
NOD2S4-R1,87.599312,41.719875,30.865833,10,5
NOD2S4-R2,87.423866,41.718967,19.997272,10,10
NOD2S4-R3,87.481201,41.719006,2.9031854,10,50
NOD2S4-R4,87.306526,41.719395,-9.1434841,10,100
NOD2S4-R5,87.445213,41.718891,-24.032871,10,1
NOD2S4-R6,87.433594,41.719467,-32.965797,10,5
NOD2D4-L1,89.704147,-31.807177,-41.858742,10,10
NOD2D4-L2,89.535027,-16.76186,-41.859055,10,50
NOD2D4-L3,89.627724,-1.7995328,-41.858788,10,100
NOD2D4-L4,89.72081,13.165062,-41.859261,10,1
NOD2D4-L5,89.518906,23.399914,-41.859623,10,5
NOD2D4-L6,89.668297,33.318855,-41.858967,10,10
NOD2D4-R1,61.639439,-31.660683,-41.859409,10,50
NOD2D4-R2,61.559357,-16.937416,-41.859085,10,100
NOD2D4-R3,61.567501,-1.6832844,-41.859249,10,1
NOD2D4-R4,61.575493,13.309587,-41.859329,10,5
NOD2D4-R5,61.669552,23.206461,-41.858971,10,10
NOD2D4-R6,61.586018,33.232498,-41.858829,10,50
NOD2O4-L1,64.421524,-32.524956,41.861984,10,100
NOD2O4-L2,64.578262,-25.771103,41.861637,10,1
NOD2O4-L3,64.575401,-18.684788,41.861698,10,5
NOD2O4-L4,64.515999,-1.9674863,41.861835,10,10
NOD2O4-L5,64.418335,11.344212,41.861595,10,50
NOD2O4-L6,64.360527,28.272844,41.861645,10,100
NOD2O4-R1,86.12394,-32.67881,41.861851,10,1
NOD2O4-R2,86.043182,-25.82066,41.861687,10,5
NOD2O4-R3,86.129875,-18.715267,41.861855,10,10
NOD2O4-R4,86.172661,-1.705518,41.861813,10,50
NOD2O4-R5,86.165642,11.234331,41.861763,10,100
NOD2O4-R6,86.208572,28.29315,41.86182,10,1
NOD2P4-L1,89.563736,-41.719685,31.229424,10,5
NOD2P4-L2,89.517761,-41.719803,19.127701,10,10
NOD2P4-L3,89.530556,-41.719536,3.2397687,10,50
NOD2P4-L4,89.481689,-41.719418,-8.6992979,10,100
NOD2P4-L5,89.681,-41.719975,-22.937553,10,1
NOD2P4-L6,89.632729,-41.719727,-32.624802,10,5
NOD2P4-R1,61.03397,-41.720146,30.969292,10,10
NOD2P4-R2,61.101166,-41.719849,19.103617,10,50
NOD2P4-R3,61.087639,-41.719692,3.1958234,10,100
NOD2P4-R4,61.161076,-41.719566,-8.7522326,10,1
NOD2P4-R5,61.163502,-41.720016,-22.934692,10,5
NOD2P4-R6,60.996914,-41.719791,-32.880787,10,10
