Sample name,x,y,z,r,Signal
NOD3A2-L1,9.5693731,-33.330101,2.473721,10,1
NOD3A2-R1,-7.7906613,-33.285198,2.5494671,10,2
NOD3A2-L2,14.854723,-33.101231,-13.946873,10,3
NOD3A2-R2,-14.285748,-33.140091,-13.918498,10,4
NOD3A2-L3,24.761934,-23.571573,6.6056795,10,5
NOD3A2-L4,25.061144,-28.539751,-4.6072702,10,6
NOD3A2-R3,-24.75922,-23.807564,6.7492251,10,7
NOD3A2-R4,-24.798897,-28.419697,-4.0537238,10,8
NOD3A2-L5,17.192785,-36.44051,-9.1202822,10,9
NOD3A2-L6,7.2333579,-36.438313,-16.799755,10,10
NOD3A2-L7,16.241631,-36.437382,-25.974539,10,11
NOD3A2-R5,-15.482996,-36.440098,-9.1214695,10,12
NOD3A2-R6,-4.5519261,-36.433201,-16.640709,10,13
NOD3A2-R7,-16.18088,-36.438164,-26.003273,10,14
NOD3O2-L8,10.428506,36.542366,20.920395,10,15
NOD3O2-R8,-10.787627,36.602158,20.920258,10,16
NOD3O2-L9,19.0791,16.386633,15.125094,10,17
NOD3O2-L10,18.974157,1.9540211,15.006132,10,18
NOD3O2-R9,-26.624857,17.189495,44.676941,10,19
NOD3O2-L10,-26.55739,2.2855132,44.087574,10,20
NOD3O2-L11,3.6637552,28.710089,17.938417,10,21
NOD3O2-R11,-4.5469284,28.67392,17.802904,10,22
NOD3O2-L12,12.694344,8.4805517,18.921282,10,23
NOD3O2-R12,-12.471144,8.8356266,18.920738,10,24
NOD3O2-L13,8.0697632,-1.5289801,26.002373,10,25
NOD3O2-R13,-7.7602601,-1.7449653,26.072039,10,26
NOD3O2-L14,18.378588,-19.778503,15.745021,10,27
NOD3O2-R14,-18.383253,-19.931774,15.632627,10,28
NOD3F5-L1,93.398277,12.956343,17.953207,10,29
NOD3F5-L2,93.376678,24.60169,0.57296324,10,30
NOD3F5-L3,93.39444,12.908835,-17.18045,10,31
NOD3F5-L4,93.370827,33.014908,17.714417,10,32
NOD3F5-L5,93.394615,32.895664,-17.133511,10,33
NOD3F5-R1,122.79204,43.610588,13.826544,10,34
NOD3F5-R2,118.28768,43.58868,-3.5877213,10,35
NOD3F5-R3,122.87111,43.602852,-21.181993,10,36
NOD3F5-R4,113.21149,43.625809,13.800204,10,37
NOD3F5-R5,113.68655,43.610001,-21.384588,10,38
NOD3F5-L6,114.18811,0.41222221,-21.387619,10,39
NOD3F5-L7,102.62623,24.196264,-22.00629,10,40
NOD3F5-R6,122.81989,0.21931303,-21.550022,10,41
NOD3F5-R7,135.17992,24.111322,-21.830078,10,42
NOD3O5-L1,107.91293,-31.225592,41.90147,10,43
NOD3O5-L2,108.0396,-19.625242,41.901672,10,44
NOD3O5-L3,107.951,-8.1289997,41.904655,10,45
NOD3O5-L4,108.13376,3.2324836,41.902016,10,46
NOD3O5-L5,108.08212,14.670922,41.90147,10,47
NOD3O5-L6,107.94521,25.881933,41.898865,10,48
NOD3O5-R1,128.9299,-31.024212,41.89584,10,49
NOD3O5-R2,128.97644,-19.644142,41.896332,10,50
NOD3O5-R3,128.86253,-8.2241669,41.897587,10,51
NOD3O5-R4,129.00658,3.2301416,41.904934,10,52
NOD3O5-R5,128.92191,14.577115,41.896667,10,53
NOD3O5-R6,128.99857,25.863865,41.896301,10,54
NOD3O4-L1,64.84938,-31.002478,41.896648,10,55
NOD3O4-L2,65.063919,-19.684891,41.900932,10,56
NOD3O4-L3,65.048706,-8.2435827,41.900837,10,57
NOD3O4-L4,64.847038,3.1343727,41.896858,10,58
NOD3O4-L5,64.838028,14.58346,41.899929,10,59
NOD3O4-L6,64.862968,25.942488,41.902039,10,60
NOD3O4-R1,85.998825,-31.120996,41.898556,10,61
NOD3O4-R2,85.900414,-19.748528,41.899124,10,62
NOD3O4-R3,86.06324,-8.1514168,41.902264,10,63
NOD3O4-R4,85.946869,2.8623836,41.90184,10,64
NOD3O4-R5,85.959076,14.610376,41.90538,10,65
NOD3O4-R6,86.099922,25.945902,41.901337,10,66
NOD3D5-L1,128.05887,-27.64937,-41.82288,10,67
NOD3D5-L2,128.25847,-18.145714,-41.836216,10,68
NOD3D5-L3,128.26215,-8.7438278,-41.859325,10,69
NOD3D5-L4,128.23936,0.90012252,-41.873333,10,70
NOD3D5-L5,128.26096,10.6628,-41.893833,10,71
NOD3D5-L6,128.14063,20.251122,-41.921894,10,72
NOD3D5-R1,108.33745,-27.748161,-41.819347,10,73
NOD3D5-R2,108.0659,-18.171423,-41.851284,10,74
NOD3D5-R3,108.27615,-8.6101961,-41.853207,10,75
NOD3D5-R4,108.13261,0.90680861,-41.881203,10,76
NOD3D5-R5,108.22789,10.538534,-41.893669,10,77
NOD3D5-R6,108.2009,20.270945,-41.917992,10,78
NOD3D4-L1,86.401337,-27.903025,-41.812504,10,79
NOD3D4-L2,86.263741,-18.740973,-41.833523,10,80
NOD3D4-L3,86.396698,-8.7753019,-35.953075,10,81
NOD3D4-L4,86.170464,1.0569706,-41.874424,10,82
NOD3D4-L5,85.800194,10.265369,-32.821507,10,83
NOD3D4-L6,86.185089,20.192749,-41.911304,10,84
NOD3D4-R1,66.170296,-27.649372,-41.813026,10,85
NOD3D4-R2,66.385681,-18.383631,-41.832451,10,86
NOD3D4-R3,66.198395,-8.5930338,-41.855026,10,87
NOD3D4-R4,66.340218,1.0375106,-41.874969,10,88
NOD3D4-R5,66.246033,10.722306,-41.896568,10,89
NOD3D4-R6,66.250778,20.237669,-41.915268,10,90
NOD3A5-L1,127.9975,-42.063099,28.551153,10,91
NOD3A5-L2,127.95859,-42.068386,18.25045,10,92
NOD3A5-L3,127.9227,-42.055641,8.2210178,10,93
NOD3A5-L4,128.02396,-42.073921,-2.1319332,10,94
NOD3A5-L5,128.13936,-42.055393,-12.282949,10,95
NOD3A5-L6,128.03477,-42.055103,-22.512335,10,96
NOD3A5-R1,108.04583,-42.053741,28.582048,10,97
NOD3A5-R2,107.95611,-42.057964,18.455757,10,98
NOD3A5-R3,107.99995,-42.056702,8.0849152,10,99
NOD3A5-R4,107.92507,-42.066517,-2.0051804,10,100
NOD3A5-R5,108.03726,-42.059128,-12.360093,10,101
NOD3A5-R6,107.89351,-42.05801,-22.361605,10,102
NOD3A4-L1,85.95459,-42.052273,28.600203,10,103
NOD3A4-L2,85.946556,-42.050499,18.350931,10,104
NOD3A4-L3,85.933113,-42.055603,8.1691141,10,105
NOD3A4-L4,86.151512,-42.058762,-2.0520506,10,106
NOD3A4-L5,86.087738,-42.062336,-12.366548,10,107
NOD3A4-L6,85.812675,-42.049244,-22.635046,10,108
NOD3A4-R1,64.528206,-42.11301,28.645054,10,109
NOD3A4-R2,64.860809,-42.054424,18.293083,10,110
NOD3A4-R3,65.313141,-42.058884,8.208127,10,111
NOD3A4-R4,64.732391,-42.052975,-2.2333863,10,112
NOD3A4-R5,64.770645,-42.054199,-12.516137,10,113
NOD3A4-R6,64.860542,-42.071564,-22.4737,10,114
NOD3F4-L1,58.487949,18.28319,17.896049,10,115
NOD3F4-L2,58.488258,27.872372,-1.5223755,10,116
NOD3F4-L3,79.57058,57.9072,2.7293382,10,117
NOD3F4-L4,68.260597,57.907433,-25.298895,10,118
NOD3F4-L5,58.483601,18.595964,-18.295204,10,119
NOD3F4-L6,73.884895,19.792362,-35.553848,10,120
NOD3F4-R1,92.323593,12.180763,18.458641,10,121
NOD3F4-R2,92.314743,21.901411,-1.0168296,10,122
NOD3F4-R3,79.796394,45.099739,-11.571909,10,123
NOD3F4-R4,90.22374,57.87851,-25.092739,10,124
NOD3F4-R5,92.270035,12.695448,-17.810406,10,125
NOD3F4-R6,81.642769,20.653069,-35.549286,10,126
NOD3F2-L1,-13.264421,50.339237,34.607243,10,127
NOD3F2-L2,-18.670816,57.35902,28.915237,10,128
NOD3F2-L3,-26.939993,62.910572,24.562471,10,129
NOD3F2-L4,-26.530396,50.800278,5.2840309,10,130
NOD3F2-L5,-26.52557,52.223545,-10.21138,10,131
NOD3F2-L6,-26.524984,60.098858,-23.98667,10,132
NOD3F2-L7,-11.270486,67.63472,-27.154697,10,133
NOD3F2-R1,21.207127,52.897331,33.649681,10,134
NOD3F2-R2,15.457697,54.940208,25.846308,10,135
NOD3F2-R3,26.895115,62.461845,24.389603,10,136
NOD3F2-R4,26.491789,50.790054,5.3931928,10,137
NOD3F2-R5,26.489302,52.362289,-10.239969,10,138
NOD3F2-R6,26.488951,55.641685,-23.804874,10,139
NOD3F2-R7,10.887305,67.473885,-27.168283,10,140
NOD3D2-L1,-19.103283,28.280863,-58.208118,10,141
NOD3D2-R1,15.279673,25.319523,-55.551735,10,142
NOD3D2-L2,-26.882084,28.296968,-62.192673,10,143
NOD3D2-L3,-26.406109,-26.0312,-62.135658,10,144
NOD3D2-L4,-12.77178,-27.172062,-67.840851,10,145
NOD3D2-R2,26.855459,28.210682,-61.948334,10,146
NOD3D2-R3,26.340117,-25.981886,-61.689899,10,147
NOD3D2-R4,12.279758,-27.15428,-67.630287,10,148
