Sample name,x,y,z,r
PMM1O1-L1,21033.6,700.211,-1073.61,10
PMM1O1-L2,21037.2,515.365,-1073.55,10
PMM1O1-L3,21043.9,309.746,-1073.55,10
PMM1O1-L4,21045,108.824,-1073.54,10
PMM1O1-L5,21040.4,-87.6441,-1073.52,10
PMM1O1-L6,21028.7,-286.371,-1073.62,10
PMM1O1-L7,21039.4,-481.184,-1073.53,10
PMM1O1-L8,21032.1,-697.877,-1073.52,10
PMM1O1-R1,21694.3,711.684,-1073.72,10
PMM1O1-R2,21687.9,504.825,-1073.71,10
PMM1O1-R3,21697,316.251,-1073.7,10
PMM1O1-R4,21690.6,104.068,-1073.71,10
PMM1O1-R5,21693.8,-88.2482,-1073.68,10
PMM1O1-R6,21695.2,-294.426,-1073.68,10
PMM1O1-R7,21686.6,-491.123,-1073.65,10
PMM1O1-R8,21694,-702.241,-1073.67,10
PMM1P1-L1,21723.7,-1080.81,780.457,10
PMM1P1-L2,21740.7,-1080.92,592.212,10
PMM1P1-L3,21731.5,-1080.92,392.571,10
PMM1P1-L4,21737,-1080.97,183.574,10
PMM1P1-L5,21716.6,-1081.03,-20.5635,10
PMM1P1-L6,21723.1,-1081.08,-209.437,10
PMM1P1-L7,21733.6,-1081.12,-417.063,10
PMM1P1-L8,21734,-1081.17,-616.588,10
PMM1P1-R1,21024.8,-1081.16,786.178,10
PMM1P1-R2,21030.9,-1081.21,589.595,10
PMM1P1-R3,21044.8,-1081.31,394.642,10
PMM1P1-R4,21039.5,-1081.31,184.692,10
PMM1P1-R5,21012.9,-1081.41,-13.5936,10
PMM1P1-R6,21030,-1081.41,-215.346,10
PMM1P1-R7,21034.4,-1081.47,-417.293,10
PMM1P1-R8,21040.1,-1081.52,-613.525,10
PMM1D1-L1,21719.1,801.464,1077.53,10
PMM1D1-L2,21727.7,597.383,1077.55,10
PMM1D1-L3,21731.8,403.547,1077.57,10
PMM1D1-L4,21725.6,190.174,1077.58,10
PMM1D1-L5,21731.3,-26.4989,1077.61,10
PMM1D1-L6,21734.5,-243.049,1077.63,10
PMM1D1-L7,21743,-447.49,1077.65,10
PMM1D1-L8,21749.8,-657.936,1077.67,10
PMM1D1-R1,21007.8,804.435,1077.55,10
PMM1D1-R2,21010.5,601.614,1077.58,10
PMM1D1-R3,21020.3,398.566,1077.59,10
PMM1D1-R4,21020.5,187.158,1077.62,10
PMM1D1-R5,21019.2,-23.6735,1077.64,10
PMM1D1-R6,21030.6,-248.4,1077.66,10
PMM1D1-R7,21039.7,-455.35,1077.69,10
PMM1D1-R8,21041.7,-660.041,1077.7,10
PMM1S1-L1,21012.6,1076.65,789.348,10
PMM1S1-L2,21013.8,1076.68,593.07,10
PMM1S1-L3,21015.8,1076.7,392.346,10
PMM1S1-L4,21015.3,1076.73,189.739,10
PMM1S1-L5,21016.2,1076.75,0.540589,10
PMM1S1-L6,21016.4,1076.78,-201.064,10
PMM1S1-L7,21015,1076.8,-396.442,10
PMM1S1-L8,21017.4,1077.13,-595.964,10
PMM1S1-R1,21699.4,1075.61,793.204,10
PMM1S1-R2,21705.8,1075.68,603.586,10
PMM1S1-R3,21708,1075.77,404.679,10
PMM1S1-R4,21710.1,1075.86,208.475,10
PMM1S1-R5,21710.6,1075.95,8.20332,10
PMM1S1-R6,21708.3,1076.03,-197.166,10
PMM1S1-R7,21701.6,1076.12,-398.976,10
PMM1S1-R8,21702.1,1076.21,-600.03,10
