#SampleID	Env	SourceSink
1674.McG.G110713Lb5	Soil (non-saline)	source
11950.control.MFGypsum.wet.TP6.RE.DUP	building materials	source
14542.NOD1S4.R10	ISS	sink
14542.NOD3A4.L2	ISS	sink
11950.control.Plywood.dry.TP2.2	building materials	source
14542.JPM1A6.R1	ISS	sink
1041.S019.100	Water (non-saline)	source
14542.JLP1P1.R1.	ISS	sink
14542.COL1F4.R2	ISS	sink
11950.loc1.Gypsum.wet.TP4.DUP	building materials	source
11950.loc1.Gypsum.wet.TP1.RE	building materials	source
10317.X00166778	oral cavity	source
14542.NOD3F5.L1	ISS	sink
10317.X00175241	oral cavity	source
10317.000049877	skin	source
10317.000097032	skin	source
12201.urine.male.C.2.microbiome.L	urine	source
14542.LAB1S6.R1.	ISS	sink
14542.NOD3F4.R1	ISS	sink
1288.NSB18jul08E.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence	Water (non-saline)	source
990.KA2U.B.09	Soil (non-saline)	source
14542.NOD3O5.L4	ISS	sink
1222.B6.5.12.06	Water (saline)	source
14542.NOD2O4.R4	ISS	sink
14542.NOD1O4.R7	ISS	sink
14542.JPM1D3.R2	ISS	sink
14542.NOD2D2.L5	ISS	sink
10317.000031935	skin	source
11442.G72812	food	source
11950.control.MDF.dry.TP0	building materials	source
10317.000096968	skin	source
14542.LAB1O3.R1	ISS	sink
11442.G87461	food	source
10317.000063280	skin	source
12201.urine.male.B.1.microbiome.L	urine	source
10317.000027340	skin	source
12201.urine.male.C.1.nucleomag.L	urine	source
1240.1801BCDNA	Water (saline)	source
14542.NOD2S2.R4	ISS	sink
14542.LAB1O2.L2	ISS	sink
12201.uriM.A.1.homebrew.L	urine	source
10317.000015737	oral cavity	source
11442.G86752	food	source
12201.urine.female.E.2.microbiome.L	urine	source
945.P1.F12.lane2.NoIndex.L002	Water (non-saline)	source
11950.control.MFGypsum.dry.TP1	building materials	source
11950.loc2.Plywood.dry.TP4.DUP	building materials	source
14542.NOD1P4.L2	ISS	sink
945.P5.G9.lane2.NoIndex.L002	Water (non-saline)	source
12201.uriF.E.3.pro.L	urine	source
12201.uriF.E.2.norgen.L	urine	source
10317.000069113	nose	source
11950.loc2.Gypsum.wet.TP6.RE.DUP	building materials	source
11442.G87450	food	source
10317.000010466	nose	source
1715.McG.NG2	Soil (non-saline)	source
864.3.CON.addV.addG.noW.A.lane2.NoIndex	Soil (non-saline)	source
11950.loc1.Gypsum.wet.TP3	building materials	source
14542.NOD1S4.L3	ISS	sink
14542.LAB1S6.L2.	ISS	sink
2080.S54D2585	Water (saline)	source
14542.PMM1P1.L8	ISS	sink
1222.B6.5.10.06	Water (saline)	source
14542.LAB1S6.R2	ISS	sink
14542.NOD2S4.L2	ISS	sink
10317.000098421	nose	source
990.KA2F.A.22	Soil (non-saline)	source
14542.PMM1O1.R6	ISS	sink
11442.G72769	food	source
1289.KH56	Soil (non-saline)	source
723.IC3.S3.L3.Catlin2.16Spool.110602.HWI.EAS137R.0375.s.5.1.sequence	Water (saline)	source
14542.NOD3F4.R5	ISS	sink
14542.JPM1D1.L1	ISS	sink
12201.uriF.E.1.norgen.L	urine	source
14542.JPM1A6.L1	ISS	sink
14542.NOD3O4.L2	ISS	sink
11950.loc1.MFGypsum.wet.TP2.DUP	building materials	source
10317.000157803	nose	source
14542.JPM1F1.R1	ISS	sink
10317.000007314	nose	source
14542.LAB1O2.R1	ISS	sink
11950.loc2.Plywood.wet.TP1.RE	building materials	source
990.KA1U.E.16	Soil (non-saline)	source
14542.JPM1O3.R1	ISS	sink
12201.uriF.E.1.standard.L	urine	source
14542.NOD3D5.R2	ISS	sink
1222.B6.5.21.06	Water (saline)	source
945.P4.B9.lane2.NoIndex.L002	Water (non-saline)	source
1288.TBH05Aug08.McMahon.Pool.2.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.2.1.sequence	Water (non-saline)	source
10317.000014221	oral cavity	source
10317.000105438	oral cavity	source
10317.000023075	oral cavity	source
14542.JPM1F5.L2	ISS	sink
12201.uriF.P.1.qiagen.L	urine	source
755.LSSF.ALPHA.D15.23.06.11.lane1.NoIndex.L001	Soil (non-saline)	source
12201.urine.female.E.3.powersoil.L	urine	source
10317.000012736	skin	source
14542.NOD2O2.L4	ISS	sink
945.P12.C10.lane5.NoIndex.L005	Water (non-saline)	source
12201.uriF.F.1.homebrew.L	urine	source
14542.JPM1O5.L2	ISS	sink
755.EFB.19.07.11.lane1.NoIndex.L001	Water (non-saline)	source
945.P9.B11.lane3.NoIndex.L003	Water (non-saline)	source
10317.000012691	skin	source
14542.JPM1F4.L1	ISS	sink
10317.X00214372	feces	source
10317.000097047	nose	source
11950.loc2.Gypsum.wet.TP1.RE.DUP	building materials	source
755.SSFA.L2.D3.26.07.11.lane1.NoIndex.L001	Soil (non-saline)	source
10317.000098488	oral cavity	source
11442.G87411	food	source
12201.uriF.S.3.qiagen.L	urine	source
14542.NOD2P4.L5	ISS	sink
14542.NOD3O5.R3	ISS	sink
12201.urine.male.A.2.nucleomag.L	urine	source
990.KA2F.E.03	Soil (non-saline)	source
723.C10.5m.G3.Catlin1.16Spool.110602.HWI.EAS137R.0375.s.3.1.sequence	Water (saline)	source
14542.JLP1P1.L1.	ISS	sink
