,n_samples,mantel_r,procrustes_m2,depth,prev
0,10625,0.9521633832032865,0.04481875983440481,1000,0.01
1,10540,0.9200995231118437,0.07239932619573004,1000,0.02
2,10479,0.9019823635801428,0.08807663272047839,1000,0.03
3,10447,0.8749709530434447,0.1104683583248634,1000,0.04
4,10381,0.8626243127372382,0.12221905697517763,1000,0.05
5,10346,0.8372766831870323,0.14398396482349582,1000,0.060000000000000005
6,10323,0.8027246514276505,0.17128790025998736,1000,0.06999999999999999
7,10294,0.7906974553992375,0.17743799751441586,1000,0.08
8,10249,0.7797442410913584,0.1852030084210286,1000,0.09
9,10221,0.7746546330536977,0.18797919380834868,1000,0.09999999999999999
10,10222,0.9531968778200527,0.04294710453565081,2000,0.01
11,10082,0.9216450215410579,0.06931386560507077,2000,0.02
12,10002,0.9033834522537689,0.08468432932039499,2000,0.03
13,9954,0.8749416378812427,0.10711164918353616,2000,0.04
14,9875,0.8647854880612079,0.11787785592380111,2000,0.05
15,9810,0.8390524503055229,0.13913772990882636,2000,0.060000000000000005
16,9761,0.8060535305127162,0.16545944624833958,2000,0.06999999999999999
17,9712,0.795177223020258,0.17041505156800352,2000,0.08
18,9631,0.7832231936558364,0.17901246108704372,2000,0.09
19,9585,0.7780506535622298,0.18192494786154287,2000,0.09999999999999999
20,9737,0.9538905143268295,0.041323243033890546,3000,0.01
21,9575,0.9232476274247653,0.06678539576532078,3000,0.02
22,9474,0.9049253393147918,0.08207683885341337,3000,0.03
23,9415,0.8776575675480148,0.10378391944193233,3000,0.04
24,9324,0.8659655796556625,0.11485813546011037,3000,0.05
25,9237,0.8404606193916231,0.1357424112281248,3000,0.060000000000000005
26,9170,0.8080222226332413,0.1614861485993769,3000,0.06999999999999999
27,9134,0.7974894992886505,0.1667330735290576,3000,0.08
28,9016,0.7857382560203887,0.1748268227841149,3000,0.09
29,8981,0.7797531128077447,0.17862348335575767,3000,0.09999999999999999
30,9277,0.9547200664345552,0.04005541993126527,4000,0.01
31,9081,0.9249696051220236,0.0646490445810006,4000,0.02
32,8974,0.905977648565574,0.08022137054423938,4000,0.03
33,8911,0.8787637604951413,0.10168381329449985,4000,0.04
34,8822,0.8661630537916893,0.11315681999346437,4000,0.05
35,8751,0.8420821482616913,0.13349365124418558,4000,0.060000000000000005
36,8686,0.8081591480516284,0.1597979413614769,4000,0.06999999999999999
37,8630,0.798454390169589,0.16496145309743135,4000,0.08
38,8517,0.7870347120486529,0.17294954182462197,4000,0.09
39,8481,0.7806531376435363,0.17693896395964911,4000,0.09999999999999999
40,8825,0.955531606218799,0.03899199110733048,5000,0.01
41,8625,0.9259793554222242,0.06315987553242099,5000,0.02
42,8532,0.906515022720556,0.0789474479588729,5000,0.03
43,8439,0.8804831431730794,0.09929773652916075,5000,0.04
44,8339,0.8683608383641048,0.1109427339845719,5000,0.05
45,8277,0.8415115705960524,0.13251821138305578,5000,0.060000000000000005
46,8218,0.8086597721487643,0.15812298452077272,5000,0.06999999999999999
47,8145,0.7987914449943926,0.16302623949879824,5000,0.08
48,7998,0.7871067250105411,0.17179156958593816,5000,0.09
49,7951,0.7797427331322442,0.1764067742631426,5000,0.09999999999999999
50,8373,0.9563589746042348,0.038121403027147484,6000,0.01
51,8166,0.9269043824004071,0.062002219081322855,6000,0.02
52,8060,0.9075981033804056,0.07771838069900522,6000,0.03
53,7968,0.8809022811636766,0.09822084640146192,6000,0.04
54,7895,0.8680739785017999,0.11032839278316922,6000,0.05
55,7831,0.8413639806544586,0.13170022120715277,6000,0.060000000000000005
56,7758,0.80795976143481,0.1580588864847335,6000,0.06999999999999999
57,7676,0.7976382089389795,0.16354232360599655,6000,0.08
58,7512,0.785635246906061,0.1720831062900733,6000,0.09
59,7475,0.7784237217470861,0.17678769441317213,6000,0.09999999999999999
60,7947,0.9562600359770272,0.03793130080129606,7000,0.01
61,7760,0.9276308574471653,0.06143213963569828,7000,0.02
62,7645,0.9083194678408716,0.07710816314710303,7000,0.03
63,7574,0.8802137165999746,0.09856114541801636,7000,0.04
64,7488,0.8673140718919826,0.11059660186396902,7000,0.05
65,7420,0.8398243435345243,0.13240237379631253,7000,0.060000000000000005
66,7323,0.8063495762914745,0.15849704202608586,7000,0.06999999999999999
67,7242,0.7967176655177257,0.16425735718687273,7000,0.08
68,7055,0.7847706574902514,0.17275740101328813,7000,0.09
69,7014,0.7766366602643627,0.17799221634935727,7000,0.09999999999999999
70,7566,0.9556808950202504,0.0383742529873184,8000,0.01
71,7376,0.9272896538995639,0.061788809453370445,8000,0.02
72,7264,0.9074762543738757,0.07777860556479181,8000,0.03
73,7184,0.879336687220504,0.09910492095307119,8000,0.04
74,7098,0.8644844869222048,0.11249977787618892,8000,0.05
75,7011,0.8367154835744622,0.1345459693532811,8000,0.060000000000000005
76,6916,0.8040327503076001,0.16054502256487307,8000,0.06999999999999999
77,6820,0.7916803809823728,0.16728420947529193,8000,0.08
78,6635,0.7809834382484213,0.17527536261018922,8000,0.09
79,6588,0.772110841153067,0.1812329398100152,8000,0.09999999999999999
80,7141,0.9541126026432603,0.03951427614224437,9000,0.01
81,6956,0.9266747032623838,0.062366514849193325,9000,0.02
82,6846,0.9049692280736642,0.07956223530342871,9000,0.03
83,6756,0.8758106408926224,0.10167486998759001,9000,0.04
84,6660,0.8616048399107507,0.11441466191432863,9000,0.05
85,6585,0.8333419035249594,0.13632610209197416,9000,0.060000000000000005
86,6467,0.7997582567103378,0.1631501640202193,9000,0.06999999999999999
87,6362,0.7880625895985167,0.1699542174557036,9000,0.08
88,6182,0.7772734508227762,0.17786099592331658,9000,0.09
89,6130,0.7673461176960198,0.1840367560317785,9000,0.09999999999999999
90,6736,0.9522424443473602,0.04090038520428156,10000,0.01
91,6549,0.925096831032544,0.06338353240522435,10000,0.02
92,6439,0.9024167086559993,0.08115235432017422,10000,0.03
93,6333,0.8724195589284768,0.10378849220445482,10000,0.04
94,6251,0.8566631380749521,0.11760715539416154,10000,0.05
95,6181,0.8281189532186107,0.13987485105888467,10000,0.060000000000000005
96,6062,0.7946223102055527,0.16651057507512795,10000,0.06999999999999999
97,5960,0.7821543195277496,0.1741755659160652,10000,0.08
98,5774,0.7703253508651542,0.1826364261704712,10000,0.09
