,n_samples,mantel_r,procrustes_m2,depth,prev
0,10754,0.9999999999999932,4.4943844312927706e-27,1000,0.0
1,10719,0.9792127713153591,0.019795449663121967,1000,0.002
2,10681,0.9704426066370442,0.027537079787123518,1000,0.004
3,10665,0.9632271177373126,0.03456161975383938,1000,0.006
4,10643,0.9587516054377067,0.03864485319555427,1000,0.008
5,9991,0.998877934912364,0.002084071816140203,3000,0.0
6,9894,0.9799306277062839,0.01847462715192414,3000,0.002
7,9835,0.971405943173572,0.025566700156993086,3000,0.004
8,9795,0.9650428919215706,0.0314629730868325,3000,0.006
9,9756,0.9607178133432513,0.035267503217201734,3000,0.008
10,9173,0.9979649407638191,0.0018790556234906963,5000,0.0
11,9073,0.9802070098395637,0.01796085113093178,5000,0.002
12,8989,0.9719662365802821,0.024466974431152644,5000,0.004
13,8916,0.9664909583378045,0.02932366786858453,5000,0.006
14,8863,0.9615920456017578,0.03355575369109158,5000,0.008
15,8321,0.9956344856498589,0.003849112463156516,7000,0.0
16,8207,0.9790196620706945,0.01836650594619686,7000,0.002
17,8111,0.971223856211202,0.024491035445650903,7000,0.004
18,8044,0.9668099293988517,0.02852050251397283,7000,0.006
19,7997,0.9616795131440192,0.03282367613104373,7000,0.008
20,7553,0.9922994188365246,0.006592359766576595,9000,0.0
21,7410,0.9766193885470684,0.019999339359640555,9000,0.002
22,7317,0.9686942859782327,0.026301862478350008,9000,0.004
23,7243,0.9648703254692952,0.029949063577207714,9000,0.006
24,7184,0.959590020432464,0.03447406732027944,9000,0.008
