,faith_pd
Closed-habitat: HI-SEAS,29497.35104053936
Home: rural (LUKAS1),55003.24094221943
Home: suburban (LUKAS2),44992.38456708452
Office: geographical gradient,34879.19839140219
Home: Pre-occupation (HOMEChem),48730.20012566779
Home: Post-occupation (HOMEChem),56100.55543944365
Office: 3D map,49501.57839841081
Hospital: COVID-19,54102.16732924848
EMP: Host-associated,77585.0525613289
EMP: Free-living,130243.7326822302
ISS: 3DMM,27556.925640465
Home: longitudinal,74054.32190988377
ISS: MT-1,17318.48557545568
Closed-habitat: NEEMO,24957.37579808357
Hospital: Post-occupation,56145.71492052994
Hospital: Pre-occupation,51323.62539293242
Isolation Dorms: COVID-19,36291.01780487123
Home: Checherta (Jungle),59871.43553107937
Home: Iquitos (Town),67862.88084250326
Home: P. Almendras (Rural),64610.53784717299
Home: Manaus (Urban),72683.79599471403
Indoor Materials,16891.85799285438
Spacecraft Assembly Facility,21053.05852245844
Closed-habitat: HI-SEAS,29958.45334165051
Home: rural (LUKAS1),51563.46066834538
Home: suburban (LUKAS2),46251.82816994651
Office: geographical gradient,35541.62172281835
Home: Pre-occupation (HOMEChem),48987.09721575312
Home: Post-occupation (HOMEChem),54023.37002484599
Office: 3D map,54030.72299463471
Hospital: COVID-19,49348.57227454836
EMP: Host-associated,63214.56556684253
EMP: Free-living,120648.519801159
ISS: 3DMM,28799.33375263838
Home: longitudinal,71067.44917340812
ISS: MT-1,16590.57698931307
Closed-habitat: NEEMO,24957.37579808357
Hospital: Post-occupation,68870.95721850483
Hospital: Pre-occupation,53149.52928661556
Isolation Dorms: COVID-19,38596.11787449267
Home: Checherta (Jungle),58458.70145235162
Home: Iquitos (Town),62673.58388365344
Home: P. Almendras (Rural),50011.06865014586
Home: Manaus (Urban),70714.98363796294
Indoor Materials,22648.34053630488
Spacecraft Assembly Facility,23575.01266825476
Closed-habitat: HI-SEAS,28960.55675829732
Home: rural (LUKAS1),51022.74783710491
Home: suburban (LUKAS2),43325.88947030695
Office: geographical gradient,38549.28772177402
Home: Pre-occupation (HOMEChem),48652.47868986525
Home: Post-occupation (HOMEChem),59025.14428484732
Office: 3D map,51574.43304150093
Hospital: COVID-19,62701.5988644116
EMP: Host-associated,67114.7171006683
EMP: Free-living,134096.418608224
ISS: 3DMM,29833.85052688514
Home: longitudinal,71633.79592695454
ISS: MT-1,17213.62280858319
Closed-habitat: NEEMO,24957.37579808357
Hospital: Post-occupation,66652.711616659
Hospital: Pre-occupation,60378.39763150057
Isolation Dorms: COVID-19,36813.84846882428
Home: Checherta (Jungle),61582.22955675474
Home: Iquitos (Town),65865.82478139453
Home: P. Almendras (Rural),51982.79322454499
Home: Manaus (Urban),66415.61681861817
Indoor Materials,14060.7780416408
Spacecraft Assembly Facility,23148.50688731769
Closed-habitat: HI-SEAS,26991.14929980355
Home: rural (LUKAS1),52390.84499938225
Home: suburban (LUKAS2),43995.07071478313
Office: geographical gradient,47082.65520138223
Home: Pre-occupation (HOMEChem),50318.05651473879
Home: Post-occupation (HOMEChem),52394.14540968722
Office: 3D map,53352.01311949293
Hospital: COVID-19,51794.24821358774
EMP: Host-associated,82834.17758664004
EMP: Free-living,124207.1087210778
ISS: 3DMM,24560.28281699082
Home: longitudinal,74488.6043961175
ISS: MT-1,16687.06118653034
Closed-habitat: NEEMO,24957.37579808357
Hospital: Post-occupation,55086.14136896619
Hospital: Pre-occupation,54134.50912644483
Isolation Dorms: COVID-19,34119.27877812382
Home: Checherta (Jungle),56489.24211815155
Home: Iquitos (Town),69784.12252876822
Home: P. Almendras (Rural),56247.5208820885
Home: Manaus (Urban),70525.57140169226
Indoor Materials,26780.59613300236
Spacecraft Assembly Facility,22764.16453020523
Closed-habitat: HI-SEAS,28295.7346594507
Home: rural (LUKAS1),53305.04348127038
Home: suburban (LUKAS2),46105.85948863764
Office: geographical gradient,34438.99337836639
Home: Pre-occupation (HOMEChem),47633.91175253272
Home: Post-occupation (HOMEChem),54597.72897953976
Office: 3D map,49507.65514904963
Hospital: COVID-19,51064.14465502865
EMP: Host-associated,78865.10250412053
EMP: Free-living,127425.2214844495
ISS: 3DMM,27050.87009082342
Home: longitudinal,63278.12795399977
ISS: MT-1,15770.02164054457
Closed-habitat: NEEMO,24957.37579808357
Hospital: Post-occupation,56368.65692271056
Hospital: Pre-occupation,48410.50368308272
Isolation Dorms: COVID-19,41775.13420011254
Home: Checherta (Jungle),56531.0977465504
Home: Iquitos (Town),67423.7972905149
Home: P. Almendras (Rural),57050.35421653791
Home: Manaus (Urban),68537.36945055408
Indoor Materials,15617.35722988608
Spacecraft Assembly Facility,24893.32790951405
Closed-habitat: HI-SEAS,29641.65090202404
Home: rural (LUKAS1),51085.06508315578
Home: suburban (LUKAS2),45533.7067488666
Office: geographical gradient,34066.54376679834
Home: Pre-occupation (HOMEChem),49742.08072692107
Home: Post-occupation (HOMEChem),57605.18891028627
Office: 3D map,53221.32007378633
Hospital: COVID-19,53077.31742079994
EMP: Host-associated,63334.63536982729
EMP: Free-living,119611.1026021576
ISS: 3DMM,27611.42757537022
