,,sum_sq,df,F,PR(>F)
observed_features,module,503353.61903588567,8.0,33.44901037564633,2.6737357121840818e-39
observed_features,sample_plate,490607.6227364501,8.0,32.602009487315826,1.8100165188547324e-38
observed_features,gmt,414359.3345724479,6.0,36.71351287896234,1.1027496608516994e-34
observed_features,run_prefix,21466.02725587996,1.0,11.41173665990304,0.0008093928055816247
observed_features,plating,3072.2410807160413,1.0,1.6332601161336868,0.20207386051053888
observed_features,orientation,5450.887600053369,5.0,0.5795585099473963,0.715678450247136
observed_features,Residual,679058.4176903453,361.0,,
faith_pd,sample_plate,926385796.5955322,8.0,60.95857066966575,1.9139412615397565e-62
faith_pd,module,751826059.9125406,8.0,49.472090540357044,1.393167957828954e-53
faith_pd,gmt,589303101.117299,6.0,51.703548517733246,8.611457311742842e-46
faith_pd,run_prefix,40971134.430535,1.0,21.568049102467757,4.79002325497678e-06
faith_pd,plating,8417171.90647655,1.0,4.430972671518185,0.03598298911136394
faith_pd,orientation,5812492.660216595,5.0,0.6119631728324977,0.6908049349349027
faith_pd,Residual,685763439.2037265,361.0,,
shannon,module,325.38323858961553,8.0,56.97536688025536,1.7546090321518203e-59
shannon,sample_plate,305.98293371020264,8.0,53.57832807492387,7.26229468211797e-57
shannon,gmt,153.86655797882486,6.0,35.92319272270964,4.709434171935548e-34
shannon,run_prefix,10.855065875051217,1.0,15.205979593077208,0.00011494227290714911
shannon,plating,6.8701180264758435,1.0,9.623790008748394,0.002072004484872868
shannon,orientation,7.217026462636465,5.0,2.0219491687429394,0.07489477739288986
shannon,Residual,257.706434294936,361.0,,
