gotu	covered_length	total_length	coverage_ratio	strain
G000226395	31668764	32224695	0.9827482928853167	 Penicillium rubens
G013340325	31520933	35047509	0.8993772710066213	 Aspergillus tubingensis
G001890705	29344258	34382946	0.8534538605272509	 Aspergillus sydowii
G003184835	27451453	36949618	0.7429428093140232	 Aspergillus costaricensis
G003184625	26447165	35419804	0.7466773390389173	 Aspergillus neoniger
G016861625	23567133	37287883	0.6320319391690861	 Aspergillus luchuensis
G003184755	23493490	35281251	0.6658916374592273	 Aspergillus piperis
G003184535	23000501	34795012	0.6610286842263483	 Aspergillus eucalypticola
G003184925	22517305	35664554	0.6313637063847763	 Aspergillus vadensis
G001890805	13474449	27994982	0.4813165802357008	 Aspergillus glaucus
G001890125	13374428	33127810	0.4037220691618311	 Aspergillus versicolor
G000143365	10466229	34887659	0.2999980308223031	 Chaetomium globosum
G003344945	10444015	37519776	0.278360270594366	 Aspergillus welwitschiae
G003184595	10231297	35855730	0.28534621941876515	 Aspergillus niger
G000002855	10027385	34007051	0.29486193907257646	 Aspergillus niger
G001758385	9632598	10352676	0.9304452298130454	 Burkholderia contaminans
G000987075	8795151	9263576	0.9494336744255134	 Burkholderia contaminans
G000181695	8659416	8959438	0.9665133013923418	 Malassezia globosa
G004723625	8540031	8901703	0.9593704710211068	 Burkholderia contaminans
G003290485	7365504	7369807	0.9994161312501127	 Malassezia restricta
G016861735	6839290	29697483	0.23029864180745555	 Aspergillus chevalieri
G016027815	6537484	7274528	0.8986815364515746	 Delftia lacustris
G900560965	6361925	6868303	0.9262732002359244	 Pseudomonas protegens
G000397205	6361628	6867980	0.9262735185600424	 Pseudomonas protegens
G900107225	6294002	7176442	0.8770365593423594	 Delftia lacustris
G016861865	6129755	34319002	0.178611108796229	 Aspergillus puulaauensis
G001571325	6093029	6610632	0.9217014349006267	 Delftia tsuruhatensis
G007341375	5883619	7183066	0.8190957733090577	 Bacteroides koreensis
G007341395	5878974	7178721	0.8189444888581128	 Bacteroides kribbi
G002072235	5826474	33225436	0.17536185228690454	 Penicillium solitum
G000600275	5798766	26211507	0.22122978278204303	 Aspergillus ruber
G016103195	5790829	6639791	0.8721402526073486	 Bacteroides thetaiotaomicron
G018129525	5757283	8497769	0.677505236962784	 Bradyrhizobium denitrificans
G002959695	5652405	6481730	0.872051905895494	 Bacteroides thetaiotaomicron
G016127415	5641214	6796677	0.8299958935815253	 Delftia acidovorans
G000741825	5622044	6777958	0.8294598461660577	 Delftia acidovorans
G900445595	5584036	6404857	0.8718439771567109	 Bacteroides thetaiotaomicron
G001598795	5569890	6632189	0.8398267902196394	 Delftia acidovorans
G002959635	5503836	6724898	0.8184266884047907	 Bacteroides ovatus
G014131755	5492229	6304213	0.8711997833829536	 Bacteroides thetaiotaomicron
G000011065	5487659	6293419	0.8719678445055065	 Bacteroides thetaiotaomicron
G900445505	5450602	6707240	0.8126445452973206	 Bacteroides ovatus
G000012945	5437783	8676317	0.6267386265393484	 Burkholderia lata
G020179495	5427021	6248195	0.8685742042301817	 Bacteroides thetaiotaomicron
G001021565	5380781	5738402	0.9376793399974418	 Delftia tsuruhatensis
G000349305	5373040	7670969	0.7004382366817021	 Malassezia sympodialis
G012985915	5366859	6012793	0.8925733847814152	 Pseudomonas psychrotolerans
G001314995	5314060	6472489	0.8210226390496762	 Bacteroides ovatus
G000154125	5307049	6465989	0.8207636913703379	 Bacteroides ovatus
G020149745	5287539	6434576	0.8217385263613329	 Bacteroides ovatus
G900107475	5224068	6375110	0.8194475075724184	 Bacteroides ovatus
G900102665	5135403	5733000	0.8957619047619048	 Pseudomonas psychrotolerans
G902499175	5132580	8900482	0.5766631515012333	 Burkholderia aenigmatica
G002223275	5103043	9327424	0.5471010002332906	 Burkholderia aenigmatica
G000757795	5063936	6286629	0.8055089619571952	 Methylobacterium oryzae
G018129445	5058976	7750974	0.6526890684964238	 Bradyrhizobium viridifuturi
G014138435	5035294	5972147	0.8431296148604513	 Methylobacterium fujisawaense
G002099195	5027015	8099754	0.6206379848079336	 Burkholderia puraquae
G001936175	5019976	6316684	0.794716974919119	 Methylobacterium phyllosphaerae
G000788015	5018531	5727590	0.8762029055850715	 Klebsiella pneumoniae
G902859845	5016450	8079290	0.6209023317643011	 Burkholderia puraquae
G016889925	5014832	5248958	0.9553957185407085	 Bacteroides fragilis
G013009555	5012900	5625488	0.8911049139203567	 Phocaeicola dorei
G900445515	5010170	5315085	0.9426321498151017	 Bacteroides fragilis
G018289355	5000964	5306051	0.9425020603835131	 Phocaeicola vulgatus
G900113465	4970388	6205349	0.8009844410040434	 Methylobacterium phyllosphaerae
G900452045	4965892	5594757	0.8875974416761979	 Klebsiella pneumoniae
G000240185	4957408	5682442	0.8724080245781655	 Klebsiella pneumoniae
G006364295	4953440	5573947	0.8886772694465879	 Klebsiella pneumoniae
G005706655	4945110	5241713	0.9434148721992219	 Bacteroides fragilis
G000025985	4944708	5241720	0.9433369199423091	 Bacteroides fragilis
G020097275	4940624	5236069	0.9435750369217824	 Bacteroides fragilis
G000742135	4932846	5545864	0.8894639320401654	 Klebsiella pneumoniae
G000281755	4919121	5512867	0.8922981454114529	 Klebsiella pneumoniae
G001997325	4912020	5211940	0.9424552086171368	 Bacteroides fragilis
G000156075	4887261	5566997	0.8778989821621962	 Phocaeicola dorei
G020115495	4885916	5461450	0.894618828333135	 Klebsiella pneumoniae
G902374465	4885108	5255091	0.9295953200429831	 Ralstonia pickettii
G001590945	4880598	5465802	0.8929335530266189	 Klebsiella pneumoniae
G003612015	4852140	4852395	0.9999474486310368	 Kalamiella piersonii
G000012825	4830088	5163189	0.9354854141500534	 Phocaeicola vulgatus
G016766915	4823138	5141011	0.93816916555907	 Phocaeicola vulgatus
G018292165	4819878	4920181	0.9796139613562997	 Bacteroides uniformis
G001688725	4810995	4839927	0.994022223888914	 Bacteroides caecimuris
G902387545	4788960	5444912	0.8795293661311698	 Phocaeicola dorei
G910575425	4779635	5261635	0.9083934936573898	 Bacteroides acidifaciens
G000503215	4776664	6419974	0.7440316736485225	 Pseudomonas canadensis
G015668785	4771630	6066950	0.7864956856410552	 Bacteroides xylanisolvens
G002221665	4771406	4800776	0.9938822390380222	 Bacteroides caecimuris
G016697125	4771396	4800606	0.9939153515202039	 Bacteroides caecimuris
G001991015	4712452	5253151	0.8970714909965466	 Pseudomonas psychrotolerans
G019048125	4708101	5281764	0.8913879908303363	 Klebsiella aerogenes
G000215745	4707659	5280350	0.89154298484002	 Klebsiella aerogenes
G020341455	4697672	5008092	0.9380163143967802	 Ralstonia pickettii
G000473485	4691730	8612770	0.5447411227746707	 Burkholderia cepacia
G000163455	4687530	5451034	0.8599340969071189	 Klebsiella pneumoniae
G007632255	4686414	5249287	0.8927715325909976	 Klebsiella aerogenes
G000007145	4680953	5076188	0.9221394085483043	 Xanthomonas campestris
G001411495	4664992	8606005	0.5420624319878968	 Burkholderia cepacia
G003294055	4648417	8937558	0.5200992262092173	 Burkholderia reimsis
G006094315	4646309	8574469	0.5418771704696815	 Burkholderia cepacia
G012986195	4645828	5038956	0.921982251879159	 Pseudomonas oryzihabitans
G003546465	4642705	8567071	0.5419244220107432	 Burkholderia cepacia
G017167925	4639625	7158081	0.6481660377970018	 Methylobacterium organophilum
G000730625	4636457	5028250	0.9220816387411127	 Pseudomonas oryzihabitans
G900446175	4636212	8555153	0.5419204075017712	 Burkholderia cepacia
G009586235	4633797	8366908	0.5538243040320271	 Burkholderia cepacia
G001186195	4633409	5120284	0.9049125009472131	 Pseudomonas fulva
G007665635	4628561	4986638	0.9281927021772987	 Pseudomonas oryzihabitans
G001528845	4626299	8488238	0.5450246564716965	 Burkholderia cepacia
G001663855	4597540	6177064	0.7442921102970602	 Ralstonia insidiosa
G020813135	4593394	4991505	0.9202422916535193	 Xanthomonas campestris
G016466415	4525725	4831460	0.9367199562865055	 Ralstonia pickettii
G900455835	4503876	4810247	0.93630867604096	 Ralstonia pickettii
G010669145	4486571	5858901	0.7657700650685171	 Rhizobium oryzihabitans
G000743455	4459220	4765599	0.9357102853177534	 Ralstonia pickettii
G020731405	4453010	5064997	0.8791732749298765	 Xanthomonas campestris
G001544155	4429556	4734078	0.9356744861407015	 Ralstonia pickettii
G016117815	4426880	4728573	0.936197876188017	 Bacteroides uniformis
G000621265	4426075	4771576	0.9275918480602635	 Pseudomonas fulva
G000730565	4422386	4769129	0.927294271134205	 Pseudomonas fulva
G000154205	4412942	4719737	0.9349974373572086	 Bacteroides uniformis
G000210075	4407180	5976145	0.7374620261054576	 Bacteroides xylanisolvens
G000328885	4375200	4809578	0.9096847997890876	 Enterobacter hormaechei
G900107315	4336448	4636012	0.9353832561261705	 Bacteroides uniformis
G001729725	4322187	4782480	0.9037543282982887	 Enterobacter hormaechei
G008801405	4317789	5724111	0.7543160850654363	 Ralstonia insidiosa
G013388375	4210997	4942039	0.8520768452049853	 Xanthomonas campestris
G902832845	4205178	7555447	0.5565756731534216	 Burkholderia metallica
