ARO Term,ARO Accession,Reference Model Type,Reference DB,Resistomes & Variants: Observed Pathogen(s),AMR Gene Family,Drug Class,Resistance Mechanism
srmB,3002828,protein homolog model,CARD,Streptomyces ambofaciens,Miscellaneous ABC-F subfamily ATP-binding cassette ribosomal protection proteins,macrolide antibiotic,antibiotic target protection
vgaALC,3002830,protein homolog model,CARD; Resistomes & Variants,Staphylococcus haemolyticus; Enterobacter hormaechei; Listeria monocytogenes; Staphylococcus aureus; Staphylococcus hominis,vga-type ABC-F protein,lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; pleuromutilin antibiotic,antibiotic target protection
mtrE,3000812,protein homolog model,CARD,Neisseria gonorrhoeae,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; penam,antibiotic efflux
macB,3000535,protein homolog model,CARD; Resistomes & Variants,Neisseria gonorrhoeae,ATP-binding cassette (ABC) antibiotic efflux pump,macrolide antibiotic,antibiotic efflux
vgaA,3002829,protein homolog model,CARD,Staphylococcus aureus,vga-type ABC-F protein,lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; pleuromutilin antibiotic,antibiotic target protection
carA,3002817,protein homolog model,CARD,Streptomyces thermotolerans,Miscellaneous ABC-F subfamily ATP-binding cassette ribosomal protection proteins,macrolide antibiotic,antibiotic target protection
mel,3000616,protein homolog model,CARD; Resistomes & Variants,Streptococcus pyogenes; Streptococcus cristatus; Streptococcus gordonii; Streptococcus pneumoniae,msr-type ABC-F protein,macrolide antibiotic; streptogramin antibiotic,antibiotic target protection
cmx,3002703,protein homolog model,CARD; Resistomes & Variants,Corynebacterium striatum; Corynebacterium amycolatum; Corynebacterium diphtheriae; Klebsiella oxytoca; Klebsiella pneumoniae; Laribacter hongkongensis; Proteus mirabilis; Pseudomonas aeruginosa; Stenotrophomonas maltophilia,major facilitator superfamily (MFS) antibiotic efflux pump,phenicol antibiotic,antibiotic efflux
oleB,3003036,protein homolog model,CARD,Streptomyces antibioticus,Miscellaneous ABC-F subfamily ATP-binding cassette ribosomal protection proteins,macrolide antibiotic,antibiotic target protection
LRA-13,3002484,protein homolog model,CARD,uncultured bacterium,class C LRA beta-lactamase; class D LRA beta-lactamase,cephalosporin; penam,antibiotic inactivation
mtrD,3000811,protein homolog model,CARD; Resistomes & Variants,Neisseria meningitidis,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; penam,antibiotic efflux
tlrC,3002827,protein homolog model,CARD,Streptomyces fradiae,Miscellaneous ABC-F subfamily ATP-binding cassette ribosomal protection proteins,macrolide antibiotic; lincosamide antibiotic,antibiotic target protection
Corynebacterium striatum tetA,3004639,protein homolog model,CARD; Resistomes & Variants,Corynebacterium striatum; Corynebacterium urealyticum; Corynebacterium amycolatum; Corynebacterium jeikeium; Corynebacterium ureicelerivorans,major facilitator superfamily (MFS) antibiotic efflux pump,penam; tetracycline antibiotic,antibiotic efflux
rpoB2,3000501,protein homolog model,CARD; Resistomes & Variants,Nocardia farcinica,rifamycin-resistant beta-subunit of RNA polymerase (rpoB),rifamycin antibiotic,antibiotic target alteration; antibiotic target replacement
Bifidobacterium bifidum ileS conferring resistance to mupirocin,3003730,protein homolog model,CARD; Resistomes & Variants,Bifidobacterium bifidum,antibiotic-resistant isoleucyl-tRNA synthetase (ileS),mupirocin-like antibiotic,antibiotic target alteration
Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin,3004480,protein homolog model,CARD; Resistomes & Variants,Bifidobacterium adolescentis; Bifidobacterium animalis; Bifidobacterium bifidum; Bifidobacterium longum; Bifidobacterium thermophilum; Bifidobacterium breve; Bifidobacterium dentium; Parascardovia denticolens; Gardnerella vaginalis,rifamycin-resistant beta-subunit of RNA polymerase (rpoB),rifamycin antibiotic,antibiotic target alteration; antibiotic target replacement
vanW gene in vanI cluster,3003724,protein homolog model,Resistomes & Variants,Actinomyces viscosus; Corynebacterium urealyticum; Corynebacterium amycolatum; Corynebacterium jeikeium; Corynebacterium ureicelerivorans; Corynebacterium imitans; Nocardia farcinica,vanW; glycopeptide resistance gene cluster,glycopeptide antibiotic,antibiotic target alteration
adeF,3000777,protein homolog model,Resistomes & Variants,Aeromonas caviae; Aeromonas hydrophila; Alcaligenes faecalis; Achromobacter xylosoxidans; Delftia tsuruhatensis; Burkholderia contaminans; Burkholderia cenocepacia; Cupriavidus campinensis; Cronobacter sakazakii; Cronobacter dublinensis; Burkholderia cepacia; Bordetella hinzii; Brucella intermedia; Bordetella petrii; Enterobacter asburiae; Pseudomonas fluorescens; Pseudomonas koreensis; Moraxella osloensis; Klebsiella pneumoniae; Pseudomonas putida; Serratia rubidaea; Enterobacter roggenkampii; Pseudomonas monteilii; Enterobacter hormaechei; Klebsiella michiganensis; Serratia liquefaciens; Pseudomonas mendocina; Leclercia adecarboxylata; Pseudomonas aeruginosa; Edwardsiella tarda; Enterobacter cancerogenus; Pseudomonas syringae; Serratia marcescens; Laribacter hongkongensis; Pseudomonas synxantha,resistance-nodulation-cell division (RND) antibiotic efflux pump,fluoroquinolone antibiotic; tetracycline antibiotic,antibiotic efflux
lnuA,3002835,protein homolog model,Resistomes & Variants,Acinetobacter baumannii; Helicobacter pylori; Staphylococcus arlettae; Staphylococcus aureus; Staphylococcus epidermidis; Staphylococcus pasteuri; Staphylococcus haemolyticus; Staphylococcus hominis; Staphylococcus saprophyticus; Staphylococcus warneri; Streptococcus pneumoniae; Listeria monocytogenes; Macrococcus canis; Streptococcus suis,lincosamide nucleotidyltransferase (LNU),lincosamide antibiotic,antibiotic inactivation
APH(3'')-Ib,3002639,protein homolog model,Resistomes & Variants,Acinetobacter baumannii,APH(3''),aminoglycoside antibiotic,antibiotic inactivation
mphE,3003741,protein homolog model,Resistomes & Variants,Acinetobacter baumannii,macrolide phosphotransferase (MPH),macrolide antibiotic,antibiotic inactivation
adeH,3000779,protein homolog model,Resistomes & Variants,Acinetobacter baumannii,resistance-nodulation-cell division (RND) antibiotic efflux pump,fluoroquinolone antibiotic; tetracycline antibiotic,antibiotic efflux
ErmX,3000596,protein homolog model,Resistomes & Variants,Corynebacterium amycolatum; Corynebacterium imitans; Corynebacterium urealyticum; Corynebacterium ureicelerivorans; Schaalia odontolytica; Corynebacterium jeikeium; Corynebacterium diphtheriae; Bifidobacterium longum; Bifidobacterium breve; Trueperella pyogenes,Erm 23S ribosomal RNA methyltransferase,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic,antibiotic target alteration
amrA,3002982,protein homolog model,Resistomes & Variants,Burkholderia contaminans,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; aminoglycoside antibiotic,antibiotic efflux
msbA,3003950,protein homolog model,Resistomes & Variants,Cronobacter sakazakii; Cronobacter malonaticus; Cronobacter dublinensis; Citrobacter freundii; Citrobacter youngae; Enterobacter cloacae; Enterobacter asburiae; Escherichia coli; Klebsiella aerogenes; Klebsiella pneumoniae; Salmonella enterica; Klebsiella oxytoca; Klebsiella quasipneumoniae; Leclercia adecarboxylata; Enterobacter cancerogenus,ATP-binding cassette (ABC) antibiotic efflux pump,nitroimidazole antibiotic,antibiotic efflux
kdpE,3003841,protein homolog model,Resistomes & Variants,Citrobacter werkmanii; Citrobacter koseri; Escherichia coli; Salmonella enterica,kdpDE,aminoglycoside antibiotic,antibiotic efflux
mdtB,3000793,protein homolog model,Resistomes & Variants,Citrobacter koseri; Citrobacter freundii; Citrobacter amalonaticus; Escherichia coli,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminocoumarin antibiotic,antibiotic efflux
Klebsiella pneumoniae KpnF,3004583,protein homolog model,Resistomes & Variants,Citrobacter koseri; Enterobacter cloacae; Klebsiella quasipneumoniae,small multidrug resistance (SMR) antibiotic efflux pump,macrolide antibiotic; aminoglycoside antibiotic; cephalosporin; tetracycline antibiotic; peptide antibiotic; rifamycin antibiotic; disinfecting agents and antiseptics,antibiotic efflux
vanH gene in vanO cluster,3002948,protein homolog model,Resistomes & Variants,Burkholderia vietnamiensis; Burkholderia cepacia,vanH; glycopeptide resistance gene cluster,glycopeptide antibiotic,antibiotic target alteration
vanG,3002909,protein homolog model,Resistomes & Variants,Cronobacter dublinensis; Citrobacter amalonaticus; Pseudomonas fluorescens; Leclercia adecarboxylata; Kosakonia arachidis,glycopeptide resistance gene cluster; Van ligase,glycopeptide antibiotic,antibiotic target alteration
emrB,3000074,protein homolog model,Resistomes & Variants,Cronobacter dublinensis,major facilitator superfamily (MFS) antibiotic efflux pump,fluoroquinolone antibiotic,antibiotic efflux
Klebsiella pneumoniae KpnH,3004597,protein homolog model,Resistomes & Variants,Cronobacter dublinensis; Klebsiella pneumoniae; Klebsiella oxytoca; Klebsiella quasipneumoniae,major facilitator superfamily (MFS) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; carbapenem; cephalosporin; penam; peptide antibiotic; penem,antibiotic efflux
vanH gene in vanF cluster,3002945,protein homolog model,Resistomes & Variants,Burkholderia cepacia,vanH; glycopeptide resistance gene cluster,glycopeptide antibiotic,antibiotic target alteration
ErmF,3000498,protein homolog model,Resistomes & Variants,Bacteroides thetaiotaomicron,Erm 23S ribosomal RNA methyltransferase,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic,antibiotic target alteration
AAC(6')-Ie-APH(2'')-Ia bifunctional protein,3002597,protein homolog model,Resistomes & Variants,Clostridium perfringens; Enterococcus faecium; Staphylococcus aureus,aminoglycoside bifunctional resistance protein,aminoglycoside antibiotic,antibiotic inactivation
qacG,3007015,protein homolog model,Resistomes & Variants,Burkholderia cenocepacia; Moraxella osloensis; Pseudomonas mendocina,small multidrug resistance (SMR) antibiotic efflux pump,disinfecting agents and antiseptics,antibiotic efflux
vanT gene in vanG cluster,3002972,protein homolog model,Resistomes & Variants,Cutibacterium acnes; Collinsella aerofaciens; Streptococcus mitis; Faecalibacterium prausnitzii; Streptococcus sanguinis; Staphylococcus hominis,glycopeptide resistance gene cluster; vanT,glycopeptide antibiotic,antibiotic target alteration
mdtC,3000794,protein homolog model,Resistomes & Variants,Citrobacter amalonaticus; Shigella flexneri; Escherichia coli; Shigella sonnei,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminocoumarin antibiotic,antibiotic efflux
oqxA,3003922,protein homolog model,Resistomes & Variants,Enterobacter cloacae; Enterobacter hormaechei; Enterobacter kobei,resistance-nodulation-cell division (RND) antibiotic efflux pump,fluoroquinolone antibiotic; glycylcycline; tetracycline antibiotic; diaminopyrimidine antibiotic; nitrofuran antibiotic,antibiotic efflux
ramA,3000823,protein homolog model,Resistomes & Variants,Enterobacter asburiae,resistance-nodulation-cell division (RND) antibiotic efflux pump; General Bacterial Porin with reduced permeability to beta-lactams,fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; glycylcycline; cephamycin; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; penem; disinfecting agents and antiseptics,antibiotic efflux; reduced permeability to antibiotic
rsmA,3005069,protein homolog model,Resistomes & Variants,Pseudomonas stutzeri; Pseudomonas syringae,resistance-nodulation-cell division (RND) antibiotic efflux pump,fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic,antibiotic efflux
vanH gene in vanB cluster,3002943,protein homolog model,Resistomes & Variants,Pseudomonas stutzeri; Pseudomonas putida,vanH; glycopeptide resistance gene cluster,glycopeptide antibiotic,antibiotic target alteration
emrK,3000206,protein homolog model,Resistomes & Variants,Shigella flexneri,major facilitator superfamily (MFS) antibiotic efflux pump,tetracycline antibiotic,antibiotic efflux
Escherichia coli acrA,3004043,protein homolog model,Resistomes & Variants,Shigella flexneri,resistance-nodulation-cell division (RND) antibiotic efflux pump,fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics,antibiotic efflux
YojI,3003952,protein homolog model,Resistomes & Variants,Escherichia coli; Shigella flexneri,ATP-binding cassette (ABC) antibiotic efflux pump,peptide antibiotic,antibiotic efflux
Escherichia coli emrE,3004039,protein homolog model,Resistomes & Variants,Escherichia coli,small multidrug resistance (SMR) antibiotic efflux pump,macrolide antibiotic,antibiotic efflux
cpxA,3000830,protein homolog model,Resistomes & Variants,Escherichia coli,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminoglycoside antibiotic; aminocoumarin antibiotic,antibiotic efflux
catA1,3002683,protein homolog model,Resistomes & Variants,Escherichia coli,chloramphenicol acetyltransferase (CAT),phenicol antibiotic,antibiotic inactivation
gadX,3000508,protein homolog model,Resistomes & Variants,Escherichia coli,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; penam,antibiotic efflux
APH(6)-Id,3002660,protein homolog model,Resistomes & Variants,Escherichia coli; Salmonella enterica; Klebsiella pneumoniae,APH(6),aminoglycoside antibiotic,antibiotic inactivation
sul2,3000412,protein homolog model,Resistomes & Variants,Escherichia coli; Klebsiella pneumoniae; Yersinia pseudotuberculosis; Shigella boydii,sulfonamide resistant sul,sulfonamide antibiotic,antibiotic target replacement
qacJ,3007014,protein homolog model,Resistomes & Variants,Escherichia coli; Staphylococcus aureus; Staphylococcus haemolyticus; Staphylococcus pseudintermedius; Staphylococcus warneri; Staphylococcus epidermidis; Staphylococcus hominis; Staphylococcus saprophyticus,small multidrug resistance (SMR) antibiotic efflux pump,disinfecting agents and antiseptics,antibiotic efflux
TolC,3000237,protein homolog model,Resistomes & Variants,Escherichia coli,ATP-binding cassette (ABC) antibiotic efflux pump; major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; carbapenem; cephalosporin; glycylcycline; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; rifamycin antibiotic; phenicol antibiotic; penem; disinfecting agents and antiseptics,antibiotic efflux
sul1,3000410,protein homolog model,Resistomes & Variants,Escherichia coli; Klebsiella pneumoniae; Salmonella enterica,sulfonamide resistant sul,sulfonamide antibiotic,antibiotic target replacement
mdtP,3003550,protein homolog model,Resistomes & Variants,Escherichia coli,major facilitator superfamily (MFS) antibiotic efflux pump,nucleoside antibiotic; disinfecting agents and antiseptics,antibiotic efflux
acrB,3000216,protein homolog model,Resistomes & Variants,Escherichia coli,resistance-nodulation-cell division (RND) antibiotic efflux pump,fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics,antibiotic efflux
leuO,3003843,protein homolog model,Resistomes & Variants,Escherichia coli,major facilitator superfamily (MFS) antibiotic efflux pump,nucleoside antibiotic; disinfecting agents and antiseptics,antibiotic efflux
aadA5,3002605,protein homolog model,Resistomes & Variants,Escherichia coli,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation
aadA22,3002619,protein homolog model,Resistomes & Variants,Escherichia coli,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation
acrD,3000491,protein homolog model,Resistomes & Variants,Escherichia coli,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminoglycoside antibiotic,antibiotic efflux
AAC(3)-IIc,3002535,protein homolog model,Resistomes & Variants,Escherichia coli,AAC(3),aminoglycoside antibiotic,antibiotic inactivation
tet(A),3000165,protein homolog model,Resistomes & Variants,Escherichia coli,major facilitator superfamily (MFS) antibiotic efflux pump,tetracycline antibiotic,antibiotic efflux
qacL,3005098,protein homolog model,Resistomes & Variants,Escherichia coli,small multidrug resistance (SMR) antibiotic efflux pump,disinfecting agents and antiseptics,antibiotic efflux
APH(3')-Ia,3002641,protein homolog model,Resistomes & Variants,Morganella morganii,APH(3'),aminoglycoside antibiotic,antibiotic inactivation
Acinetobacter baumannii AbaQ,3004574,protein homolog model,Resistomes & Variants,Pseudomonas koreensis; Pseudomonas putida; Pseudomonas aeruginosa; Pseudomonas brassicacearum; Pseudomonas fluorescens; Pseudomonas syringae,major facilitator superfamily (MFS) antibiotic efflux pump,fluoroquinolone antibiotic,antibiotic efflux
ICR-Mo,3004569,protein homolog model,Resistomes & Variants,Moraxella osloensis,intrinsic colistin resistant phosphoethanolamine transferase,peptide antibiotic,antibiotic target alteration
Klebsiella pneumoniae KpnG,3004588,protein homolog model,Resistomes & Variants,Klebsiella pneumoniae,major facilitator superfamily (MFS) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; carbapenem; cephalosporin; penam; peptide antibiotic; penem,antibiotic efflux
fosA5,3003209,protein homolog model,Resistomes & Variants,Klebsiella pneumoniae,fosfomycin thiol transferase,fluoroquinolone antibiotic; aminoglycoside antibiotic; phosphonic acid antibiotic,antibiotic inactivation
AAC(6')-Ib10,3002581,protein homolog model,Resistomes & Variants,Klebsiella pneumoniae,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation
TEM-244,3007453,protein homolog model,Resistomes & Variants,Klebsiella pneumoniae,TEM beta-lactamase,monobactam; cephalosporin; penam; penem,antibiotic inactivation
dfrA14,3002859,protein homolog model,Resistomes & Variants,Klebsiella pneumoniae,trimethoprim resistant dihydrofolate reductase dfr,diaminopyrimidine antibiotic,antibiotic target replacement
cmlA5,3002695,protein homolog model,Resistomes & Variants,Pseudomonas putida,major facilitator superfamily (MFS) antibiotic efflux pump,phenicol antibiotic,antibiotic efflux
YajC,3005040,protein homolog model,Resistomes & Variants,Pseudomonas putida,resistance-nodulation-cell division (RND) antibiotic efflux pump,fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; oxazolidinone antibiotic; glycopeptide antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics,antibiotic efflux
vanY gene in vanM cluster,3002961,protein homolog model,Resistomes & Variants,Streptococcus mitis; Streptococcus pseudopneumoniae; Staphylococcus epidermidis; Streptococcus pneumoniae,vanY; glycopeptide resistance gene cluster,glycopeptide antibiotic,antibiotic target alteration
MdtK,3001327,protein homolog model,Resistomes & Variants,Salmonella enterica,multidrug and toxic compound extrusion (MATE) transporter,fluoroquinolone antibiotic,antibiotic efflux
