Genome	Accession	RefSeq type	Source information	Number of segments	Genome length	Number of proteins	Genome Neighbors	Host	Date completed	Date updated
Adeno-associated virus	NC_040671	complete	isolate:MHH-05-2015	-	4857 nt	2	75	"human, vertebrates"	2/12/19	9/12/19
Adeno-associated virus - 1	NC_002077	complete	-	-	4718 nt	2	5	"human, vertebrates"	4/27/99	8/13/18
Adeno-associated virus - 3	NC_001729	complete	strain:3H	-	4726 nt	2	5	"human, vertebrates"	7/11/96	8/13/18
Adeno-associated virus - 4	NC_001829	complete	isolate:ATCC VR-646	-	4767 nt	2	5	"human, vertebrates"	8/21/97	8/13/18
Adeno-associated virus - 7	NC_006260	complete	-	-	4721 nt	2	5	"human, vertebrates"	9/9/04	8/13/18
Adeno-associated virus - 8	NC_006261	complete	-	-	4393 nt	2	5	"human, vertebrates"	9/9/04	8/13/18
Adult diarrheal rotavirus strain J19	-	complete	strain:J19	11	17961 nt	11	-	"human, vertebrates"	11/2/05	8/13/18
Aichivirus B	NC_004421	complete	strain:U-1	-	8374 nt	1	15	"human, vertebrates"	11/18/02	8/13/18
Akhmeta virus	NC_055230	complete	isolate:Akhmeta_2013-88	-	221923 nt	220	-	"human, vertebrates"	6/1/21	6/7/21
Alenquer virus	-	complete	-	3	12455 nt	4	-	human	6/1/21	6/7/21
Alphapapillomavirus 3	NC_001694	complete	-	-	7989 nt	7	51	human	10/18/95	8/13/18
Alphapapillomavirus 4	NC_001352	complete	-	-	7860 nt	7	11	human	2/18/91	8/13/18
Alphapapillomavirus 7	NC_001357	complete	-	-	7857 nt	8	302	"human, vertebrates"	9/19/87	8/13/18
Aroa virus	NC_009026	complete	strain:Bussuquara virus; isolate:BeAn 4073	-	10815 nt	1	7	"human, invertebrates, vertebrates"	2/20/07	8/13/18
Astrovirus MLB1	NC_011400	complete	isolate:MLB1	-	6171 nt	3	10	human	10/22/08	8/13/18
Astrovirus MLB2	NC_016155	complete	isolate:MLB2/human/Stl/WD0559/2008	-	6119 nt	3	2	human	3/12/12	8/13/18
Astrovirus MLB3	NC_019028	complete	isolate:MLB3/human/Vellore/26564/2004	-	6124 nt	3	-	human	10/31/12	8/13/18
Astrovirus VA1	NC_013060	complete	isolate:VA1	-	6586 nt	3	4	"human, vertebrates"	8/5/09	8/13/18
Astrovirus VA3	NC_019026	complete	isolate:VA3/human/Vellore/28054/2005	-	6581 nt	3	-	human	10/31/12	8/13/18
Astrovirus VA4	NC_019027	complete	isolate:VA4/human/Nepal/S5363/2008	-	6518 nt	3	-	human	10/31/12	8/13/18
Avian gyrovirus 2	NC_015396	complete	-	-	2383 nt	3	49	"human, vertebrates"	4/25/11	8/13/18
Baboon endogenous virus strain M7	NC_022517	complete	strain:M7	-	8507 nt	3	1	"human, vertebrates"	11/25/14	8/13/18
Banna virus strain JKT-6423	-	complete	strain:JKT-6423	12	20682 nt	12	-	"human, invertebrates, vertebrates"	6/27/00	8/13/18
Barmah Forest virus	NC_001786	complete	strain:BH2193	-	11488 nt	4	37	"human, invertebrates, vertebrates"	1/14/97	8/13/18
Bastrovirus 7	NC_035758	complete	-	-	6339 nt	3	-	human	8/31/17	8/13/18
Batai virus	-	complete	strain:MS50	3	12270 nt	4	-	"human, invertebrates, vertebrates"	6/28/19	8/22/19
Betacoronavirus England 1	NC_038294	complete	strain:England 1; isolate:H123990006	-	30111 nt	11	672	"human, vertebrates"	8/24/18	11/22/20
Betapolyomavirus hominis	NC_001538	complete	-	-	5153 nt	6	490	"human, vertebrates"	11/3/82	8/13/18
Betapolyomavirus macacae	NC_001669	complete	-	-	5243 nt	7	34	"human, vertebrates"	8/3/93	6/4/19
Betapolyomavirus tertihominis	NC_009238	complete	isolate:Stockholm 60	-	5040 nt	5	11	human	3/30/07	8/13/18
Bhanja virus	-	complete	strain:ibAr2709	3	11511 nt	4	-	"human, invertebrates"	6/2/15	8/13/18
Bocaparvovirus primate1	-	complete	-	2	10842 nt	11	-	"human, vertebrates"	5/4/23	5/5/23
Bocavirus gorilla/GBoV1/2009	NC_014358	complete	isolate:GBoV1	-	4944 nt	4	35	"human, vertebrates"	8/5/10	8/13/18
Borna disease virus 1	NC_001607	complete	strain:V	-	8910 nt	6	46	"human, vertebrates"	1/6/94	8/30/16
Borna disease virus 2	NC_030692	complete	strain:No/98	-	8908 nt	6	46	"human, vertebrates"	9/19/01	8/23/16
Bovine coronavirus	NC_003045	complete	isolate:BCoV-ENT	-	31028 nt	12	336	"human, vertebrates"	8/2/01	9/17/20
Bovine leukemia virus	NC_001414	complete	-	-	8419 nt	6	278	"human, vertebrates"	1/21/98	8/13/18
Bovine papular stomatitis virus	NC_005337	complete	strain:BV-AR02; isolate:ORFB	-	134431 nt	131	3	"human, vertebrates"	1/21/04	12/20/20
Bovine viral diarrhea virus 1	NC_001461	complete	strain:NADL	-	12573 nt	1	160	"human, vertebrates"	8/2/93	8/13/18
Bovine viral diarrhea virus 1-SD1	NC_076029	complete	-	-	12308 nt	1	160	"human, vertebrates"	5/4/23	5/5/23
Bovine viral diarrhea virus 2	NC_039237	complete	isolate:890	-	12513 nt	1	109	"human, vertebrates"	8/24/18	8/24/18
Breda virus	NC_007447	complete	strain:Breda 1	-	28475 nt	6	14	"human, vertebrates"	10/5/05	8/13/18
Bufavirus-3	NC_024888	complete	strain:BTN-63	-	4733 nt	4	5	human	9/17/14	8/13/18
Bundibugyo virus	NC_014373	complete	isolate:Bundibugyo virus/H.sapiens-tc/UGA/2007/Butalya-811250	-	18940 nt	9	24	"human, vertebrates"	8/9/10	11/7/18
Bunyamwera virus	-	complete	-	3	12294 nt	4	-	"human, invertebrates, vertebrates"	4/29/93	8/13/18
Burana virus	-	complete	strain:760	3	17427 nt	3	-	"human, invertebrates, vertebrates"	6/28/19	8/22/19
Cache Valley virus	-	complete	strain:6V633	3	12283 nt	4	-	"human, invertebrates, vertebrates"	6/28/19	8/22/19
California sea lion astrovirus 2	NC_034975	incomplete	strain:CSL2	-	3510 nt	2	3	"human, vertebrates"	6/13/17	8/13/18
Camel alphacoronavirus	NC_028752	complete	isolate:camel/Riyadh/Ry141/2015	-	27395 nt	7	76	"human, vertebrates"	1/5/16	12/29/21
Camelpox virus	NC_003391	complete	isolate:M-96	-	205719 nt	211	3	"human, vertebrates"	2/4/02	12/20/20
Cangyuan orthoreovirus	-	complete	strain:Cangyuan	10	23325 nt	10	-	"human, vertebrates"	12/4/14	8/13/18
Caraparu virus	-	complete	strain:BeAn3994	3	12259 nt	4	-	"human, invertebrates, vertebrates"	5/5/17	8/13/18
Catu virus	-	complete	strain:BeH 151	3	12024 nt	3	-	human	8/24/18	8/24/18
Central cimpanzee simian foamy virus	NC_039024	complete	strain:Pan troglodytes troglodytes; isolate:BAD327	-	13220 nt	5	-	human	8/24/18	8/24/18
Cercopithecine betaherpesvirus 5	NC_012783	complete	strain:2715	-	226205 nt	177	1	"human, vertebrates"	6/8/09	8/13/18
Chagres virus	-	complete	-	3	12602 nt	4	-	human	6/1/21	6/7/21
Chandipura virus	NC_020805	complete	isolate:CIN 0451	-	11120 nt	5	10	"human, invertebrates, vertebrates"	3/26/13	8/13/18
Chandiru virus	-	complete	-	3	12495 nt	4	-	"human, invertebrates, vertebrates"	4/7/11	8/13/18
Chiba-040502 virus	NC_075964	incomplete	-	-	2472 nt	2	-	"human, vertebrates"	5/4/23	5/4/23
Chicken anemia virus	NC_001427	complete	-	-	2319 nt	4	348	"human, vertebrates"	8/2/93	8/13/18
Chikungunya virus	NC_004162	complete	strain:S27-African prototype	-	11826 nt	2	1057	"human, invertebrates, vertebrates"	9/6/02	10/29/18
Chimpanzee adenovirus Y25	NC_017825	complete	-	-	36711 nt	31	73	"human, vertebrates"	5/4/12	12/21/20
Choclo virus	-	incomplete	-	2	5657 nt	2	-	"human, vertebrates"	8/24/18	8/24/18
Circo-like virus-Brazil hs1	NC_023888	complete	strain:hs1	-	2526 nt	4	1	human	4/3/14	8/13/18
Circular ssDNA virus sp.	NC_030449	complete	isolate:HV-CV1	-	2951 nt	3	19	"human, vertebrates"	7/2/16	8/25/18
Colobus guereza papillomavirus 2	NC_015692	complete	isolate:CgPV2	-	7686 nt	6	11	"human, vertebrates"	6/24/11	8/13/18
Cosavirus A	NC_012800	complete	strain:HCoSV-A1; isolate:0553	-	7632 nt	1	4	"human, vertebrates"	6/11/09	8/13/18
Cosavirus D	NC_012802	complete	strain:HCoSV-D1; isolate:5004	-	7215 nt	1	1	human	6/11/09	8/13/18
Cosavirus E	NC_012798	complete	strain:HCoSV-E1	-	6580 nt	1	-	human	6/11/09	8/13/18
Cosavirus F	NC_034385	complete	strain:PK5006; serotype:HCoSV-F	-	6656 nt	1	1	"human, vertebrates"	5/1/17	8/13/18
Cosavirus JMY-2014	NC_025961	complete	isolate:Cosa-CHN	-	7213 nt	1	-	human	12/24/14	8/13/18
Cowden I virus	NC_000940	complete	strain:Cowden	-	7320 nt	2	200	"human, vertebrates"	10/31/99	2/1/22
Cowpox virus	NC_003663	complete	strain:Brighton Red	-	224499 nt	233	88	"human, vertebrates"	4/16/02	12/20/20
Coxsackievirus A2	NC_038306	complete	strain:Fleetwood; isolate:CA2	-	7398 nt	1	3092	"human, vertebrates"	8/24/18	6/4/19
Coxsackievirus B3	NC_038307	complete	-	-	7399 nt	1	729	"human, vertebrates"	8/24/18	8/24/18
Cressdnaviricota sp.	-	complete	isolate:ctjj384	2	4238 nt	4	-	"human, vertebrates"	5/4/23	5/5/23
Cutavirus	NC_039050	complete	strain:BR-337	-	4456 nt	5	4	"human, vertebrates"	8/24/18	8/24/18
