Protein.identifier	Gene.symbol	Sequence.name	Scope	Element.type	Element.subtype	Class	Subclass	Method	Target.length	Reference.sequence.length	X..Coverage.of.reference.sequence	X..Identity.to.reference.sequence	Alignment.length	Accession.of.closest.sequence	Name.of.closest.sequence	HMM.id	HMM.description	Bin.ID	sample_id	Category	Specifics	Source	module	rack	Percentage.of.reads.mapping.to.taxonomic.identificatioin	Genus	Species	Completeness	Contamination	position
ABBEKP_04285	erm(C)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(C)	core	AMR	AMR	MACROLIDE	MACROLIDE	EXACTP	244	244	100	100	244	WP_001003263.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(C)	NF012219.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(C)	3D0901A_S458_L004_Mapped_To_coassembly_bin.004	3D0901A_S458_L004	ISS	ISS-Internal Surface	3DMM	node 3	7	86.3197	g_Pantoea	s_Pantoea piersonii	96.64	7.13	1
ABBEKP_05230	bla	class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	289	299	92.64	62.86	280	WP_063860834.1	class A beta-lactamase	NF033103.1	class A beta-lactamase	3D0901A_S458_L004_Mapped_To_coassembly_bin.004	3D0901A_S458_L004	ISS	ISS-Internal Surface	3DMM	node 3	7	86.3197	g_Pantoea	s_Pantoea piersonii	96.64	7.13	1
ABBEKP_10645	arsC	glutaredoxin-dependent arsenate reductase	plus	STRESS	METAL	ARSENIC	ARSENATE	HMM	142	141	99.29	73.57	140	AAB09628.1	glutaredoxin-dependent arsenate reductase	NF007456.1	glutaredoxin-dependent arsenate reductase	3D0901A_S458_L004_Mapped_To_coassembly_bin.004	3D0901A_S458_L004	ISS	ISS-Internal Surface	3DMM	node 3	7	86.3197	g_Pantoea	s_Pantoea piersonii	96.64	7.13	1
AFJBOJ_01720	oqxB	multidrug efflux RND transporter permease subunit OqxB	core	AMR	AMR	PHENICOL/QUINOLONE	PHENICOL/QUINOLONE	BLASTP	1050	1050	99.33	90.12	1043	WP_040224644.1	multidrug efflux RND transporter permease subunit OqxB27	NF000037.1	multidrug efflux RND transporter permease subunit OqxB	GCA_032016845.1_ASM3201684v1_genomic		Enviornmental	Urban	Helmholtz-Centre for Environmental Research - UFZ		NA	NA			NA	NA	1
AFJBOJ_17975	hsp20	small heat shock protein sHSP20	plus	STRESS	HEAT	NA	NA	BLASTP	189	189	100	98.94	189	CDY80020.1	small heat shock protein sHSP20	NA	NA	GCA_032016845.1_ASM3201684v1_genomic		Enviornmental	Urban	Helmholtz-Centre for Environmental Research - UFZ		NA	NA			NA	NA	1
AFJBOJ_17995	shsP	small heat shock protein sHSP20-GI	plus	STRESS	HEAT	NA	NA	PARTIALP	105	152	69.08	100	105	ASF80771.1	small heat shock protein sHSP20-GI	NA	NA	GCA_032016845.1_ASM3201684v1_genomic		Enviornmental	Urban	Helmholtz-Centre for Environmental Research - UFZ		NA	NA			NA	NA	1
AFJBOJ_18000	yfdX1	heat resistance protein YfdX1	plus	STRESS	HEAT	NA	NA	BLASTP	304	304	100	99.34	304	APX31172.1	heat resistance protein YfdX1	NA	NA	GCA_032016845.1_ASM3201684v1_genomic		Enviornmental	Urban	Helmholtz-Centre for Environmental Research - UFZ		NA	NA			NA	NA	1
AFJBOJ_18005	yfdX2	heat resistance protein YfdX2	plus	STRESS	HEAT	NA	NA	BLASTP	295	295	100	98.98	295	ASF80766.1	heat resistance protein YfdX2	NA	NA	GCA_032016845.1_ASM3201684v1_genomic		Enviornmental	Urban	Helmholtz-Centre for Environmental Research - UFZ		NA	NA			NA	NA	1
AFJBOJ_18010	hdeD-GI	heat resistance membrane protein HdeD-GI	plus	STRESS	HEAT	NA	NA	BLASTP	203	203	100	98.03	203	APX31174.1	heat resistance membrane protein HdeD-GI	NA	NA	GCA_032016845.1_ASM3201684v1_genomic		Enviornmental	Urban	Helmholtz-Centre for Environmental Research - UFZ		NA	NA			NA	NA	1
AFJBOJ_18020	trxLHR	heat resistance system thioredoxin Trx-GI	plus	STRESS	HEAT	NA	NA	BLASTP	146	146	100	98.63	146	APX31176.1	heat resistance system thioredoxin Trx-GI	NA	NA	GCA_032016845.1_ASM3201684v1_genomic		Enviornmental	Urban	Helmholtz-Centre for Environmental Research - UFZ		NA	NA			NA	NA	1
