gotu	covered_length	total_length	coverage_ratio	strain
G000802255	11744858	16395616	0.7163413683267527	d__Bacteria; p__ Proteobacteria; c__ Gammaproteobacteria; o__ Burkholderiales; f__ Burkholderiaceae; g__ Burkholderia; s__ 
G000397205	6362140	6867980	0.9263480674084665	d__Bacteria; p__ Proteobacteria; c__ Gammaproteobacteria; o__ Pseudomonadales; f__ Pseudomonadaceae; g__ Pseudomonas_E; s__ Pseudomonas_E protegens
G000018665	5804091	6767514	0.8576400433009818	d__Bacteria; p__ Proteobacteria; c__ Gammaproteobacteria; o__ Burkholderiales; f__ Burkholderiaceae; g__ Comamonas; s__ Comamonas acidovorans
G001314975	5775006	6487685	0.8901489514364523	d__Bacteria; p__ Bacteroidota; c__ Bacteroidia; o__ Bacteroidales; f__ Bacteroidaceae; g__ Bacteroides; s__ Bacteroides thetaiotaomicron
G000011065	5489349	6293419	0.8722363789857309	d__Bacteria; p__ Bacteroidota; c__ Bacteroidia; o__ Bacteroidales; f__ Bacteroidaceae; g__ Bacteroides; s__ Bacteroides thetaiotaomicron
G001314995	5324066	6472489	0.8225685667445708	d__Bacteria; p__ Bacteroidota; c__ Bacteroidia; o__ Bacteroidales; f__ Bacteroidaceae; g__ Bacteroides; s__ 
G000598465	5161877	5434950	0.9497561155116423	d__Bacteria; p__ Bacteroidota; c__ Bacteroidia; o__ Bacteroidales; f__ Bacteroidaceae; g__ Bacteroides; s__ Bacteroides fragilis
G000009925	5078075	5311010	0.9561411106362067	d__Bacteria; p__ Bacteroidota; c__ Bacteroidia; o__ Bacteroidales; f__ Bacteroidaceae; g__ Bacteroides; s__ Bacteroides fragilis
G000436435	5049193	5348036	0.9441209819829186	d__Bacteria; p__ Bacteroidota; c__ Bacteroidia; o__ Bacteroidales; f__ Bacteroidaceae; g__ Bacteroides; s__ Bacteroides ovatus
G000944855	5037177	6593944	0.7639095812763954	d__Bacteria; p__ Proteobacteria; c__ Gammaproteobacteria; o__ Enterobacterales; f__ Enterobacteriaceae; g__ Escherichia; s__ Escherichia coli
G000240185	4961360	5682442	0.8731035002205038	d__Bacteria; p__ Proteobacteria; c__ Gammaproteobacteria; o__ Enterobacterales; f__ Enterobacteriaceae; g__ Klebsiella; s__ Klebsiella pneumoniae
G000020205	4903079	5325769	0.9206330578738958	d__Bacteria; p__ Proteobacteria; c__ Gammaproteobacteria; o__ Burkholderiales; f__ Burkholderiaceae; g__ Ralstonia; s__ Ralstonia pickettii_B
G000599385	4872970	5227693	0.9321454033356588	d__Bacteria; p__ Bacteroidota; c__ Bacteroidia; o__ Bacteroidales; f__ Bacteroidaceae; g__ Bacteroides; s__ Bacteroides fragilis
